source,t_recv,seq,epoch,body_sha256,http_status,elapsed_ms,symbol,company_name,sector_id,market_category,open,high,low,close_published,yclose,day_trades,day_volume,day_value_mn,yearly_high,yearly_low,ref_7d,ref_15d,ref_30d,ref_90d,ref_180d,ref_365d,floor_flag,sme_flag,spot_flag,t_source_str,raw_keys,zero_fields
stocknow_instruments,2026-09-08 09:30:35.234008+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,70e9bb0f48c87197e396909c4a7cac288ae91cd64625456eb96d3bf8d011c382,200,951,ACIFORMULA,Aci Formulations Limited,16.0,A,153.0,154.4,147.3,148.1,151.9,564.0,89968.0,13.607,189.2,115.0,153.8,164.9,170.3,144.5,141.1,151.3,0.0,0,0,2026-09-08 14:07:21,"[""15d"", ""180d"", ""30d"", ""365d"", ""7d"", ""90d"", ""analysisTitle"", ""category"", ""close"", ""code"", ""floor"", ""high"", ""low"", ""name"", ""new_value"", ""nv"", ""open"", ""sector_id"", ""sme"", ""spot"", ""trades"", ""updated_at"", ""value"", ""volume"", ""ycp"", ""yearly_high"", ""yearly_low""]",[]
stocknow_instruments,2026-09-08 09:30:35.234008+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,70e9bb0f48c87197e396909c4a7cac288ae91cd64625456eb96d3bf8d011c382,200,951,ACMELAB,The Acme Laboratories Limited,16.0,A,79.0,79.0,77.7,77.7,77.8,493.0,127514.0,9.933,88.7,68.6,79.4,80.4,82.7,80.4,77.8,82.3,0.0,0,0,2026-09-08 14:09:23,"[""15d"", ""180d"", ""30d"", ""365d"", ""7d"", ""90d"", ""analysisTitle"", ""category"", ""close"", ""code"", ""floor"", ""high"", ""low"", ""name"", ""new_value"", ""nv"", ""open"", ""sector_id"", ""sme"", ""spot"", ""trades"", ""updated_at"", ""value"", ""volume"", ""ycp"", ""yearly_high"", ""yearly_low""]",[]
stocknow_instruments,2026-09-08 09:30:35.234008+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,70e9bb0f48c87197e396909c4a7cac288ae91cd64625456eb96d3bf8d011c382,200,951,ACMEPL,Acme Pesticides Limited,16.0,B,25.2,25.2,24.0,24.1,24.7,1026.0,1831673.0,44.92,27.8,12.5,24.9,23.7,26.0,24.6,16.7,17.8,0.0,0,0,2026-09-08 14:09:36,"[""15d"", ""180d"", ""30d"", ""365d"", ""7d"", ""90d"", ""analysisTitle"", ""category"", ""close"", ""code"", ""floor"", ""high"", ""low"", ""name"", ""new_value"", ""nv"", ""open"", ""sector_id"", ""sme"", ""spot"", ""trades"", ""updated_at"", ""value"", ""volume"", ""ycp"", ""yearly_high"", ""yearly_low""]",[]
stocknow_instruments,2026-09-08 09:30:35.234008+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,70e9bb0f48c87197e396909c4a7cac288ae91cd64625456eb96d3bf8d011c382,200,951,ACTIVEFINE,Active Fine Chemicals Limited,16.0,Z,6.0,6.0,5.8,5.8,5.9,76.0,134328.0,0.785,9.4,4.7,5.9,6.5,6.9,6.7,6.6,9.1,0.0,0,0,2026-09-08 14:07:34,"[""15d"", ""180d"", ""30d"", ""365d"", ""7d"", ""90d"", ""analysisTitle"", ""category"", ""close"", ""code"", ""floor"", ""high"", ""low"", ""name"", ""new_value"", ""nv"", ""open"", ""sector_id"", ""sme"", ""spot"", ""trades"", ""updated_at"", ""value"", ""volume"", ""ycp"", ""yearly_high"", ""yearly_low""]",[]
stocknow_instruments,2026-09-08 09:30:35.234008+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,70e9bb0f48c87197e396909c4a7cac288ae91cd64625456eb96d3bf8d011c382,200,951,ADNTEL,Adn Telecom Limited,11.0,A,60.8,61.0,58.9,59.3,59.9,275.0,92251.0,5.514,84.0,50.4,60.5,62.9,66.7,63.7,58.3,83.4,0.0,0,0,2026-09-08 14:07:34,"[""15d"", ""180d"", ""30d"", ""365d"", ""7d"", ""90d"", ""analysisTitle"", ""category"", ""close"", ""code"", ""floor"", ""high"", ""low"", ""name"", ""new_value"", ""nv"", ""open"", ""sector_id"", ""sme"", ""spot"", ""trades"", ""updated_at"", ""value"", ""volume"", ""ycp"", ""yearly_high"", ""yearly_low""]",[]
stocknow_instruments,2026-09-08 09:30:35.234008+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,70e9bb0f48c87197e396909c4a7cac288ae91cd64625456eb96d3bf8d011c382,200,951,ADVENT,Advent Pharma Limited,16.0,Z,14.2,14.5,14.0,14.1,14.1,101.0,98251.0,1.401,17.1,11.5,14.3,15.0,16.4,15.2,13.3,16.6,0.0,0,0,2026-09-08 14:08:42,"[""15d"", ""180d"", ""30d"", ""365d"", ""7d"", ""90d"", ""analysisTitle"", ""category"", ""close"", ""code"", ""floor"", ""high"", ""low"", ""name"", ""new_value"", ""nv"", ""open"", ""sector_id"", ""sme"", ""spot"", ""trades"", ""updated_at"", ""value"", ""volume"", ""ycp"", ""yearly_high"", ""yearly_low""]",[]
stocknow_instruments,2026-09-08 09:30:35.234008+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,70e9bb0f48c87197e396909c4a7cac288ae91cd64625456eb96d3bf8d011c382,200,951,AFCAGRO,Afc Agro Biotech Ltd.,16.0,Z,6.7,6.8,6.5,6.6,6.6,23.0,11054.0,0.073,8.7,4.0,6.7,6.7,7.3,7.2,6.7,8.6,0.0,0,0,2026-09-08 14:00:00,"[""15d"", ""180d"", ""30d"", ""365d"", ""7d"", ""90d"", ""analysisTitle"", ""category"", ""close"", ""code"", ""floor"", ""high"", ""low"", ""name"", ""new_value"", ""nv"", ""open"", ""sector_id"", ""sme"", ""spot"", ""trades"", ""updated_at"", ""value"", ""volume"", ""ycp"", ""yearly_high"", ""yearly_low""]",[]
stocknow_instruments,2026-09-08 09:30:35.234008+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,70e9bb0f48c87197e396909c4a7cac288ae91cd64625456eb96d3bf8d011c382,200,951,AFTABAUTO,Aftab Automobiles Limited.,6.0,Z,27.9,27.9,26.7,26.9,27.2,140.0,73541.0,2.006,39.7,26.2,28.0,28.6,30.4,32.0,28.0,37.5,0.0,0,0,2026-09-08 14:06:18,"[""15d"", ""180d"", ""30d"", ""365d"", ""7d"", ""90d"", ""analysisTitle"", ""category"", ""close"", ""code"", ""floor"", ""high"", ""low"", ""name"", ""new_value"", ""nv"", ""open"", ""sector_id"", ""sme"", ""spot"", ""trades"", ""updated_at"", ""value"", ""volume"", ""ycp"", ""yearly_high"", ""yearly_low""]",[]
stocknow_instruments,2026-09-08 09:30:35.234008+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,70e9bb0f48c87197e396909c4a7cac288ae91cd64625456eb96d3bf8d011c382,200,951,AGNISYSL,Agni Systems Ltd.,11.0,B,31.4,31.6,30.1,30.5,31.2,752.0,857233.0,26.71,35.9,18.1,28.3,30.2,32.7,30.2,20.7,30.0,0.0,0,0,2026-09-08 14:01:44,"[""15d"", ""180d"", ""30d"", ""365d"", ""7d"", ""90d"", ""analysisTitle"", ""category"", ""close"", ""code"", ""floor"", ""high"", ""low"", ""name"", ""new_value"", ""nv"", ""open"", ""sector_id"", ""sme"", ""spot"", ""trades"", ""updated_at"", ""value"", ""volume"", ""ycp"", ""yearly_high"", ""yearly_low""]",[]
stocknow_instruments,2026-09-08 09:30:35.234008+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,70e9bb0f48c87197e396909c4a7cac288ae91cd64625456eb96d3bf8d011c382,200,951,AGRANINS,Agrani Insurance Co. Ltd.,10.0,A,29.0,29.5,28.3,28.6,28.9,114.0,58110.0,1.688,33.5,17.5,28.4,30.2,31.5,27.6,21.3,28.3,0.0,0,0,2026-09-08 14:07:16,"[""15d"", ""180d"", ""30d"", ""365d"", ""7d"", ""90d"", ""analysisTitle"", ""category"", ""close"", ""code"", ""floor"", ""high"", ""low"", ""name"", ""new_value"", ""nv"", ""open"", ""sector_id"", ""sme"", ""spot"", ""trades"", ""updated_at"", ""value"", ""volume"", ""ycp"", ""yearly_high"", ""yearly_low""]",[]
stocknow_instruments,2026-09-08 09:30:35.234008+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,70e9bb0f48c87197e396909c4a7cac288ae91cd64625456eb96d3bf8d011c382,200,951,AIBL1STIMF,Aibl 1st Islamic Mutual Fund,14.0,A,5.9,6.0,5.6,5.7,5.7,403.0,2386656.0,13.856,7.2,2.8,4.8,5.5,6.5,4.1,3.7,4.7,0.0,0,0,2026-09-08 14:09:36,"[""15d"", ""180d"", ""30d"", ""365d"", ""7d"", ""90d"", ""analysisTitle"", ""category"", ""close"", ""code"", ""floor"", ""high"", ""low"", ""name"", ""new_value"", ""nv"", ""open"", ""sector_id"", ""sme"", ""spot"", ""trades"", ""updated_at"", ""value"", ""volume"", ""ycp"", ""yearly_high"", ""yearly_low""]",[]
stocknow_instruments,2026-09-08 09:30:35.234008+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,70e9bb0f48c87197e396909c4a7cac288ae91cd64625456eb96d3bf8d011c382,200,951,AIBLPBOND,Aibl Mudaraba Perpetual Bond,4.0,A,4100.0,4100.0,4100.0,4100.0,4050.0,2.0,20.0,0.082,4830.0,3277.5,4100.0,3950.0,4007.0,4042.5,3400.0,4760.0,0.0,0,0,2026-08-31 14:00:00,"[""15d"", ""180d"", ""30d"", ""365d"", ""7d"", ""90d"", ""analysisTitle"", ""category"", ""close"", ""code"", ""floor"", ""high"", ""low"", ""name"", ""new_value"", ""nv"", ""open"", ""sector_id"", ""sme"", ""spot"", ""trades"", ""updated_at"", ""value"", ""volume"", ""ycp"", ""yearly_high"", ""yearly_low""]",[]
stocknow_instruments,2026-09-08 09:30:35.234008+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,70e9bb0f48c87197e396909c4a7cac288ae91cd64625456eb96d3bf8d011c382,200,951,AIL,Alif Industries Limited,20.0,Z,33.7,34.0,31.9,32.0,33.4,313.0,121255.0,3.968,59.6,26.2,34.1,36.1,37.1,35.1,29.2,61.1,0.0,0,0,2026-09-08 14:09:39,"[""15d"", ""180d"", ""30d"", ""365d"", ""7d"", ""90d"", ""analysisTitle"", ""category"", ""close"", ""code"", ""floor"", ""high"", ""low"", ""name"", ""new_value"", ""nv"", ""open"", ""sector_id"", ""sme"", ""spot"", ""trades"", ""updated_at"", ""value"", ""volume"", ""ycp"", ""yearly_high"", ""yearly_low""]",[]
stocknow_instruments,2026-09-08 09:30:35.234008+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,70e9bb0f48c87197e396909c4a7cac288ae91cd64625456eb96d3bf8d011c382,200,951,AL-HAJTEX,Al-haj Textile,20.0,B,78.5,78.5,73.8,74.4,77.1,672.0,124756.0,9.525,187.5,73.6,84.3,86.4,97.3,100.0,127.5,121.33,0.0,0,0,2026-09-08 14:09:53,"[""15d"", ""180d"", ""30d"", ""365d"", ""7d"", ""90d"", ""analysisTitle"", ""category"", ""close"", ""code"", ""floor"", ""high"", ""low"", ""name"", ""new_value"", ""nv"", ""open"", ""sector_id"", ""sme"", ""spot"", ""trades"", ""updated_at"", ""value"", ""volume"", ""ycp"", ""yearly_high"", ""yearly_low""]",[]
stocknow_instruments,2026-09-08 09:30:35.234008+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,70e9bb0f48c87197e396909c4a7cac288ae91cd64625456eb96d3bf8d011c382,200,951,ALARABANK,Alarafah Islami Bank Ltd.,1.0,Z,16.7,16.7,15.9,16.0,16.2,39.0,12851.0,0.207,19.5,12.0,17.1,17.6,16.2,14.5,17.5,16.9,0.0,0,0,2026-09-08 14:05:05,"[""15d"", ""180d"", ""30d"", ""365d"", ""7d"", ""90d"", ""analysisTitle"", ""category"", ""close"", ""code"", ""floor"", ""high"", ""low"", ""name"", ""new_value"", ""nv"", ""open"", ""sector_id"", ""sme"", ""spot"", ""trades"", ""updated_at"", ""value"", ""volume"", ""ycp"", ""yearly_high"", ""yearly_low""]",[]
stocknow_instruments,2026-09-08 09:30:35.234008+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,70e9bb0f48c87197e396909c4a7cac288ae91cd64625456eb96d3bf8d011c382,200,951,ALIF,Alif Manufacturing Company Ltd.,20.0,Z,5.5,5.6,5.4,5.4,5.4,95.0,423698.0,2.307,6.5,3.2,5.5,5.6,5.5,5.2,4.8,5.7,0.0,0,0,2026-09-08 14:09:46,"[""15d"", ""180d"", ""30d"", ""365d"", ""7d"", ""90d"", ""analysisTitle"", ""category"", ""close"", ""code"", ""floor"", ""high"", ""low"", ""name"", ""new_value"", ""nv"", ""open"", ""sector_id"", ""sme"", ""spot"", ""trades"", ""updated_at"", ""value"", ""volume"", ""ycp"", ""yearly_high"", ""yearly_low""]",[]
stocknow_instruments,2026-09-08 09:30:35.234008+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,70e9bb0f48c87197e396909c4a7cac288ae91cd64625456eb96d3bf8d011c382,200,951,ALLTEX,Alltex Industries Ltd.,20.0,Z,24.3,24.4,23.5,24.1,23.9,206.0,242157.0,5.816,26.0,12.1,24.4,24.3,22.8,16.6,14.2,12.1,0.0,0,0,2026-09-08 14:05:51,"[""15d"", ""180d"", ""30d"", ""365d"", ""7d"", ""90d"", ""analysisTitle"", ""category"", ""close"", ""code"", ""floor"", ""high"", ""low"", ""name"", ""new_value"", ""nv"", ""open"", ""sector_id"", ""sme"", ""spot"", ""trades"", ""updated_at"", ""value"", ""volume"", ""ycp"", ""yearly_high"", ""yearly_low""]",[]
stocknow_instruments,2026-09-08 09:30:35.234008+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,70e9bb0f48c87197e396909c4a7cac288ae91cd64625456eb96d3bf8d011c382,200,951,AMANFEED,Aman Feed Limited,13.0,A,32.7,33.5,30.6,31.0,32.4,846.0,1062381.0,33.937,41.4,21.2,33.8,37.1,38.8,32.7,22.6,28.4,0.0,0,0,2026-09-08 14:09:25,"[""15d"", ""180d"", ""30d"", ""365d"", ""7d"", ""90d"", ""analysisTitle"", ""category"", ""close"", ""code"", ""floor"", ""high"", ""low"", ""name"", ""new_value"", ""nv"", ""open"", ""sector_id"", ""sme"", ""spot"", ""trades"", ""updated_at"", ""value"", ""volume"", ""ycp"", ""yearly_high"", ""yearly_low""]",[]
stocknow_instruments,2026-09-08 09:30:35.234008+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,70e9bb0f48c87197e396909c4a7cac288ae91cd64625456eb96d3bf8d011c382,200,951,AMBEEPHA,Ambee Pharmaceuticals Limited,16.0,A,752.3,763.9,752.3,752.9,757.2,102.0,1138.0,0.858,847.0,681.0,755.4,766.3,807.7,778.5,776.1,832.0,0.0,0,0,2026-09-08 14:01:55,"[""15d"", ""180d"", ""30d"", ""365d"", ""7d"", ""90d"", ""analysisTitle"", ""category"", ""close"", ""code"", ""floor"", ""high"", ""low"", ""name"", ""new_value"", ""nv"", ""open"", ""sector_id"", ""sme"", ""spot"", ""trades"", ""updated_at"", ""value"", ""volume"", ""ycp"", ""yearly_high"", ""yearly_low""]",[]
stocknow_instruments,2026-09-08 09:30:35.234008+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,70e9bb0f48c87197e396909c4a7cac288ae91cd64625456eb96d3bf8d011c382,200,951,AMCL(PRAN),Agricultural Marketing Company Limited,8.0,A,217.3,219.8,216.0,216.3,215.4,41.0,881.0,0.191,249.8,194.9,219.1,226.2,228.6,217.1,205.1,251.7,0.0,0,0,2026-09-08 14:00:00,"[""15d"", ""180d"", ""30d"", ""365d"", ""7d"", ""90d"", ""analysisTitle"", ""category"", ""close"", ""code"", ""floor"", ""high"", ""low"", ""name"", ""new_value"", ""nv"", ""open"", ""sector_id"", ""sme"", ""spot"", ""trades"", ""updated_at"", ""value"", ""volume"", ""ycp"", ""yearly_high"", ""yearly_low""]",[]
stocknow_instruments,2026-09-08 09:30:35.234008+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,70e9bb0f48c87197e396909c4a7cac288ae91cd64625456eb96d3bf8d011c382,200,951,AMPL,Al-madina Pharmaceuticals Limited,16.0,SME,84.0,84.0,83.0,83.4,82.1,455.0,22431.0,1.872,110.0,25.7,79.3,78.6,82.2,85.8,37.2,34.6,,1,0,2026-09-08 14:09:19,"[""15d"", ""180d"", ""30d"", ""365d"", ""7d"", ""90d"", ""analysisTitle"", ""category"", ""close"", ""code"", ""floor"", ""high"", ""low"", ""name"", ""new_value"", ""nv"", ""open"", ""sector_id"", ""sme"", ""spot"", ""trades"", ""updated_at"", ""value"", ""volume"", ""ycp"", ""yearly_high"", ""yearly_low""]",[]
stocknow_instruments,2026-09-08 09:30:35.234008+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,70e9bb0f48c87197e396909c4a7cac288ae91cd64625456eb96d3bf8d011c382,200,951,ANLIMAYARN,Anlima Yearn Dyeing Ltd.,20.0,Z,29.8,29.8,25.9,27.3,28.7,99.0,25290.0,0.703,37.9,15.1,28.7,33.2,35.9,31.9,20.3,23.3,0.0,0,0,2026-09-08 14:06:06,"[""15d"", ""180d"", ""30d"", ""365d"", ""7d"", ""90d"", ""analysisTitle"", ""category"", ""close"", ""code"", ""floor"", ""high"", ""low"", ""name"", ""new_value"", ""nv"", ""open"", ""sector_id"", ""sme"", ""spot"", ""trades"", ""updated_at"", ""value"", ""volume"", ""ycp"", ""yearly_high"", ""yearly_low""]",[]
stocknow_instruments,2026-09-08 09:30:35.234008+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,70e9bb0f48c87197e396909c4a7cac288ae91cd64625456eb96d3bf8d011c382,200,951,ANWARGALV,Anwar Galvanizing Limited,6.0,A,107.0,108.3,104.8,105.4,105.8,902.0,183246.0,19.534,127.6,56.2,102.7,107.6,110.3,122.7,93.3,82.5,0.0,0,0,2026-09-08 14:07:28,"[""15d"", ""180d"", ""30d"", ""365d"", ""7d"", ""90d"", ""analysisTitle"", ""category"", ""close"", ""code"", ""floor"", ""high"", ""low"", ""name"", ""new_value"", ""nv"", ""open"", ""sector_id"", ""sme"", ""spot"", ""trades"", ""updated_at"", ""value"", ""volume"", ""ycp"", ""yearly_high"", ""yearly_low""]",[]
stocknow_instruments,2026-09-08 09:30:35.234008+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,70e9bb0f48c87197e396909c4a7cac288ae91cd64625456eb96d3bf8d011c382,200,951,AOL,Associated Oxygen Limited,9.0,Z,16.0,16.3,15.9,15.9,15.9,213.0,160430.0,2.573,19.9,12.5,17.4,17.8,18.7,18.3,15.8,15.0,0.0,0,0,2026-09-08 14:03:34,"[""15d"", ""180d"", ""30d"", ""365d"", ""7d"", ""90d"", ""analysisTitle"", ""category"", ""close"", ""code"", ""floor"", ""high"", ""low"", ""name"", ""new_value"", ""nv"", ""open"", ""sector_id"", ""sme"", ""spot"", ""trades"", ""updated_at"", ""value"", ""volume"", ""ycp"", ""yearly_high"", ""yearly_low""]",[]
stocknow_instruments,2026-09-08 09:30:35.234008+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,70e9bb0f48c87197e396909c4a7cac288ae91cd64625456eb96d3bf8d011c382,200,951,AOPLC,Aoplc,8.0,SME,8.8,8.9,8.5,8.8,8.4,11.0,1607.0,0.014,13.9,7.4,8.6,9.0,9.5,12.0,10.1,12.1,,1,0,2026-09-08 14:00:00,"[""15d"", ""180d"", ""30d"", ""365d"", ""7d"", ""90d"", ""analysisTitle"", ""category"", ""close"", ""code"", ""floor"", ""high"", ""low"", ""name"", ""new_value"", ""nv"", ""open"", ""sector_id"", ""sme"", ""spot"", ""trades"", ""updated_at"", ""value"", ""volume"", ""ycp"", ""yearly_high"", ""yearly_low""]",[]
