t_recv,source,key,reason,detail,status
2026-09-08 09:58:39.885040+00:00,dse_ownership,TB10Y0127,parse_error,no shareholding block on the company page for 'TB10Y0127',
2026-09-08 09:58:40.460304+00:00,dse_ownership,TB10Y0130,parse_error,no shareholding block on the company page for 'TB10Y0130',
2026-09-08 09:58:41.055056+00:00,dse_ownership,TB10Y0132,parse_error,no shareholding block on the company page for 'TB10Y0132',
2026-09-08 09:58:41.816089+00:00,dse_ownership,TB10Y0135,parse_error,no shareholding block on the company page for 'TB10Y0135',
2026-09-08 09:58:42.349486+00:00,dse_ownership,TB10Y0231,parse_error,no shareholding block on the company page for 'TB10Y0231',
2026-09-08 09:58:42.991591+00:00,dse_ownership,TB10Y0234,parse_error,no shareholding block on the company page for 'TB10Y0234',
2026-09-08 09:58:43.634502+00:00,dse_ownership,TB10Y0333,parse_error,no shareholding block on the company page for 'TB10Y0333',
2026-09-08 09:58:44.271990+00:00,dse_ownership,TB10Y0335,parse_error,no shareholding block on the company page for 'TB10Y0335',
2026-09-08 09:58:44.809518+00:00,dse_ownership,TB10Y0429,parse_error,no shareholding block on the company page for 'TB10Y0429',
2026-09-08 09:58:45.389300+00:00,dse_ownership,TB10Y0434,parse_error,no shareholding block on the company page for 'TB10Y0434',
2026-09-08 09:58:46.016223+00:00,dse_ownership,TB10Y0530,parse_error,no shareholding block on the company page for 'TB10Y0530',
2026-09-08 09:58:46.606968+00:00,dse_ownership,TB10Y0531,parse_error,no shareholding block on the company page for 'TB10Y0531',
2026-09-08 09:58:47.287806+00:00,dse_ownership,TB10Y0532,parse_error,no shareholding block on the company page for 'TB10Y0532',
2026-09-08 09:58:48.115433+00:00,dse_ownership,TB10Y0535,parse_error,no shareholding block on the company page for 'TB10Y0535',
2026-09-08 09:58:48.684231+00:00,dse_ownership,TB10Y0628,parse_error,no shareholding block on the company page for 'TB10Y0628',
2026-09-08 09:58:49.298740+00:00,dse_ownership,TB10Y0629,parse_error,no shareholding block on the company page for 'TB10Y0629',
2026-09-08 09:58:49.997095+00:00,dse_ownership,TB10Y0630,parse_error,no shareholding block on the company page for 'TB10Y0630',
2026-09-08 09:58:50.673460+00:00,dse_ownership,TB10Y0632,parse_error,no shareholding block on the company page for 'TB10Y0632',
2026-09-08 09:58:51.273748+00:00,dse_ownership,TB10Y0634,parse_error,no shareholding block on the company page for 'TB10Y0634',
2026-09-08 09:58:52.006791+00:00,dse_ownership,TB10Y0730,parse_error,no shareholding block on the company page for 'TB10Y0730',
2026-09-08 09:58:52.580879+00:00,dse_ownership,TB10Y0731,parse_error,no shareholding block on the company page for 'TB10Y0731',
2026-09-08 09:58:53.198270+00:00,dse_ownership,TB10Y0735,parse_error,no shareholding block on the company page for 'TB10Y0735',
2026-09-08 09:58:53.910035+00:00,dse_ownership,TB10Y0829,parse_error,no shareholding block on the company page for 'TB10Y0829',
2026-09-08 09:58:54.486004+00:00,dse_ownership,TB10Y0833,parse_error,no shareholding block on the company page for 'TB10Y0833',
2026-09-08 09:58:55.100502+00:00,dse_ownership,TB10Y0932,parse_error,no shareholding block on the company page for 'TB10Y0932',
2026-09-08 09:58:55.654165+00:00,dse_ownership,TB10Y1027,parse_error,no shareholding block on the company page for 'TB10Y1027',
2026-09-08 09:58:56.348240+00:00,dse_ownership,TB10Y1030,parse_error,no shareholding block on the company page for 'TB10Y1030',
2026-09-08 09:58:56.914234+00:00,dse_ownership,TB10Y1031,parse_error,no shareholding block on the company page for 'TB10Y1031',
2026-09-08 09:58:57.497455+00:00,dse_ownership,TB10Y1128,parse_error,no shareholding block on the company page for 'TB10Y1128',
2026-09-08 09:58:58.159382+00:00,dse_ownership,TB10Y1135,parse_error,no shareholding block on the company page for 'TB10Y1135',
2026-09-08 09:58:58.708801+00:00,dse_ownership,TB10Y1229,parse_error,no shareholding block on the company page for 'TB10Y1229',
2026-09-08 09:58:59.261360+00:00,dse_ownership,TB10Y1232,parse_error,no shareholding block on the company page for 'TB10Y1232',
2026-09-08 09:58:59.939254+00:00,dse_ownership,TB15Y0127,parse_error,no shareholding block on the company page for 'TB15Y0127',
2026-09-08 09:59:00.534456+00:00,dse_ownership,TB15Y0128,parse_error,no shareholding block on the company page for 'TB15Y0128',
2026-09-08 09:59:01.120286+00:00,dse_ownership,TB15Y0129,parse_error,no shareholding block on the company page for 'TB15Y0129',
2026-09-08 09:59:01.740093+00:00,dse_ownership,TB15Y0227,parse_error,no shareholding block on the company page for 'TB15Y0227',
2026-09-08 09:59:02.328488+00:00,dse_ownership,TB15Y0228,parse_error,no shareholding block on the company page for 'TB15Y0228',
2026-09-08 09:59:02.883399+00:00,dse_ownership,TB15Y0229,parse_error,no shareholding block on the company page for 'TB15Y0229',
2026-09-08 09:59:03.534029+00:00,dse_ownership,TB15Y0327,parse_error,no shareholding block on the company page for 'TB15Y0327',
2026-09-08 09:59:04.280124+00:00,dse_ownership,TB15Y0328,parse_error,no shareholding block on the company page for 'TB15Y0328',
2026-09-08 09:59:04.839190+00:00,dse_ownership,TB15Y0329,parse_error,no shareholding block on the company page for 'TB15Y0329',
2026-09-08 09:59:05.363949+00:00,dse_ownership,TB15Y0339,parse_error,no shareholding block on the company page for 'TB15Y0339',
2026-09-08 09:59:05.964544+00:00,dse_ownership,TB15Y0340,parse_error,no shareholding block on the company page for 'TB15Y0340',
2026-09-08 09:59:06.515429+00:00,dse_ownership,TB15Y0427,parse_error,no shareholding block on the company page for 'TB15Y0427',
2026-09-08 09:59:07.171052+00:00,dse_ownership,TB15Y0428,parse_error,no shareholding block on the company page for 'TB15Y0428',
2026-09-08 09:59:07.787921+00:00,dse_ownership,TB15Y0429,parse_error,no shareholding block on the company page for 'TB15Y0429',
2026-09-08 09:59:08.336939+00:00,dse_ownership,TB15Y0431,parse_error,no shareholding block on the company page for 'TB15Y0431',
2026-09-08 09:59:08.942629+00:00,dse_ownership,TB15Y0437,parse_error,no shareholding block on the company page for 'TB15Y0437',
2026-09-08 09:59:09.601057+00:00,dse_ownership,TB15Y0527,parse_error,no shareholding block on the company page for 'TB15Y0527',
2026-09-08 09:59:10.212857+00:00,dse_ownership,TB15Y0528,parse_error,no shareholding block on the company page for 'TB15Y0528',
2026-09-08 09:59:10.789949+00:00,dse_ownership,TB15Y0529,parse_error,no shareholding block on the company page for 'TB15Y0529',
2026-09-08 09:59:11.406543+00:00,dse_ownership,TB15Y0535,parse_error,no shareholding block on the company page for 'TB15Y0535',
2026-09-08 09:59:12.085978+00:00,dse_ownership,TB15Y0627,parse_error,no shareholding block on the company page for 'TB15Y0627',
2026-09-08 09:59:12.715735+00:00,dse_ownership,TB15Y0628,parse_error,no shareholding block on the company page for 'TB15Y0628',
2026-09-08 09:59:13.282891+00:00,dse_ownership,TB15Y0629,parse_error,no shareholding block on the company page for 'TB15Y0629',
2026-09-08 09:59:13.895291+00:00,dse_ownership,TB15Y0635,parse_error,no shareholding block on the company page for 'TB15Y0635',
2026-09-08 09:59:14.500854+00:00,dse_ownership,TB15Y0637,parse_error,no shareholding block on the company page for 'TB15Y0637',
2026-09-08 09:59:15.035901+00:00,dse_ownership,TB15Y0727,parse_error,no shareholding block on the company page for 'TB15Y0727',
2026-09-08 09:59:15.682828+00:00,dse_ownership,TB15Y0728,parse_error,no shareholding block on the company page for 'TB15Y0728',
2026-09-08 09:59:16.279551+00:00,dse_ownership,TB15Y0729,parse_error,no shareholding block on the company page for 'TB15Y0729',
2026-09-08 09:59:16.812835+00:00,dse_ownership,TB15Y0730,parse_error,no shareholding block on the company page for 'TB15Y0730',
2026-09-08 09:59:17.494153+00:00,dse_ownership,TB15Y0736,parse_error,no shareholding block on the company page for 'TB15Y0736',
2026-09-08 09:59:18.076447+00:00,dse_ownership,TB15Y0828,parse_error,no shareholding block on the company page for 'TB15Y0828',
2026-09-08 09:59:18.815073+00:00,dse_ownership,TB15Y0829,parse_error,no shareholding block on the company page for 'TB15Y0829',
2026-09-08 09:59:19.359026+00:00,dse_ownership,TB15Y0840,parse_error,no shareholding block on the company page for 'TB15Y0840',
2026-09-08 09:59:20.024247+00:00,dse_ownership,TB15Y0926,parse_error,no shareholding block on the company page for 'TB15Y0926',
2026-09-08 09:59:20.678799+00:00,dse_ownership,TB15Y0927,parse_error,no shareholding block on the company page for 'TB15Y0927',
2026-09-08 09:59:21.248257+00:00,dse_ownership,TB15Y0928,parse_error,no shareholding block on the company page for 'TB15Y0928',
2026-09-08 09:59:21.887550+00:00,dse_ownership,TB15Y0929,parse_error,no shareholding block on the company page for 'TB15Y0929',
2026-09-08 09:59:22.433567+00:00,dse_ownership,TB15Y0930,parse_error,no shareholding block on the company page for 'TB15Y0930',
2026-09-08 09:59:22.987872+00:00,dse_ownership,TB15Y0933,parse_error,no shareholding block on the company page for 'TB15Y0933',
2026-09-08 09:59:23.767574+00:00,dse_ownership,TB15Y1026,parse_error,no shareholding block on the company page for 'TB15Y1026',
2026-09-08 09:59:24.398749+00:00,dse_ownership,TB15Y1027,parse_error,no shareholding block on the company page for 'TB15Y1027',
2026-09-08 09:59:25.015221+00:00,dse_ownership,TB15Y1028,parse_error,no shareholding block on the company page for 'TB15Y1028',
2026-09-08 09:59:25.650950+00:00,dse_ownership,TB15Y1029,parse_error,no shareholding block on the company page for 'TB15Y1029',
2026-09-08 09:59:26.237103+00:00,dse_ownership,TB15Y1126,parse_error,no shareholding block on the company page for 'TB15Y1126',
2026-09-08 09:59:26.818800+00:00,dse_ownership,TB15Y1127,parse_error,no shareholding block on the company page for 'TB15Y1127',
2026-09-08 09:59:27.403453+00:00,dse_ownership,TB15Y1128,parse_error,no shareholding block on the company page for 'TB15Y1128',
2026-09-08 09:59:28.145687+00:00,dse_ownership,TB15Y1129,parse_error,no shareholding block on the company page for 'TB15Y1129',
2026-09-08 09:59:28.762026+00:00,dse_ownership,TB15Y1133,parse_error,no shareholding block on the company page for 'TB15Y1133',
2026-09-08 09:59:29.358721+00:00,dse_ownership,TB15Y1226,parse_error,no shareholding block on the company page for 'TB15Y1226',
2026-09-08 09:59:30.050438+00:00,dse_ownership,TB15Y1227,parse_error,no shareholding block on the company page for 'TB15Y1227',
2026-09-08 09:59:30.594786+00:00,dse_ownership,TB15Y1228,parse_error,no shareholding block on the company page for 'TB15Y1228',
