source,t_recv,seq,epoch,body_sha256,http_status,elapsed_ms,announcement_date,announcement_type,announcement_text,category,url,is_pdf,link_text
bsec_publications,2026-09-08 09:50:03.876688+00:00,1,a4e388692d1a4e3fa50e0610a30f29c3,5f8170a41f61893e347c389646e4b3b2ea46586c06d36af2707ad2ad8ed9e81a,200,1767,"Jul 28, 2026",,"বাংলাদেশ সিকিউরিটিজ অ্যান্ড এক্সচেঞ্জ কমিশনের কমিশনার হিসেবে জনাব হোসেন সাদাত, এফসিএস-এর যোগদান।",press_release,https://sec.gov.bd/storage/press_releases/1785231542_press-release-28072026.pdf,True,"Jul 28, 2026 বাংলাদেশ সিকিউরিটিজ অ্যান্ড এক্সচেঞ্জ কমিশনের কমিশনার হিসেবে জনাব হোসেন সাদাত, এফসিএস-এর যোগদান।"
bsec_publications,2026-09-08 09:50:03.876688+00:00,1,a4e388692d1a4e3fa50e0610a30f29c3,5f8170a41f61893e347c389646e4b3b2ea46586c06d36af2707ad2ad8ed9e81a,200,1767,"Jul 28, 2026",,১০২২তম কমিশন সভা।,press_release,https://sec.gov.bd/storage/press_releases/1785231595_press-release-28072026.pdf,True,"Jul 28, 2026 ১০২২তম কমিশন সভা।"
bsec_publications,2026-09-08 09:50:03.876688+00:00,1,a4e388692d1a4e3fa50e0610a30f29c3,5f8170a41f61893e347c389646e4b3b2ea46586c06d36af2707ad2ad8ed9e81a,200,1767,"Jul 29, 2026",,এসএমই উদ্যোক্তাদের জন্য বিএসইসি ও এসএমই ফাউন্ডেশন এর উদ্যোগে “Training on Capital Raising by Public Offer for SME Entrepreneurs” বিষয়ক যৌথ প্রশিক্ষণ আয়োজন।,press_release,https://sec.gov.bd/storage/press_releases/1785326058_press-release-29072026.pdf,True,"Jul 29, 2026 এসএমই উদ্যোক্তাদের জন্য বিএসইসি ও এসএমই ফাউন্ডেশন এর উদ্যোগে “Training on Capital Raising by Public Offer for SME Entrepreneurs” বিষয়ক যৌথ প্রশিক্ষণ আয়োজন।"
bsec_publications,2026-09-08 09:50:03.876688+00:00,1,a4e388692d1a4e3fa50e0610a30f29c3,5f8170a41f61893e347c389646e4b3b2ea46586c06d36af2707ad2ad8ed9e81a,200,1767,"Aug 18, 2026",,‘বাংলাদেশ সিকিউরিটিজ অ্যান্ড এক্সচেঞ্জ কমিশন (মার্জিন) বিধিমালা ২০২৫ এর সংশোধনী’ বাংলাদেশ গেজেটে প্রকাশ প্রসঙ্গে।,press_release,https://sec.gov.bd/storage/press_releases/1787031873_press-release-18082026.pdf,True,"Aug 18, 2026 ‘বাংলাদেশ সিকিউরিটিজ অ্যান্ড এক্সচেঞ্জ কমিশন (মার্জিন) বিধিমালা ২০২৫ এর সংশোধনী’ বাংলাদেশ গেজেটে প্রকাশ প্রসঙ্গে।"
bsec_publications,2026-09-08 09:50:03.876688+00:00,1,a4e388692d1a4e3fa50e0610a30f29c3,5f8170a41f61893e347c389646e4b3b2ea46586c06d36af2707ad2ad8ed9e81a,200,1767,"Aug 19, 2026",,বিএসইসি চেয়ারম্যানের বক্তব্যের নামে বিভ্রান্তিকর সংবাদ ও সামাজিক যোগাযোগমাধ্যমে অপপ্রচার প্রসঙ্গে বিএসইসির সতর্কীকরণ প্রসঙ্গে।,press_release,https://sec.gov.bd/storage/press_releases/1787217491_press-release-19-08-2026.pdf,True,"Aug 19, 2026 বিএসইসি চেয়ারম্যানের বক্তব্যের নামে বিভ্রান্তিকর সংবাদ ও সামাজিক যোগাযোগমাধ্যমে অপপ্রচার প্রসঙ্গে বিএসইসির সতর্কীকরণ প্রসঙ্গে।"
bsec_publications,2026-09-08 09:50:03.876688+00:00,1,a4e388692d1a4e3fa50e0610a30f29c3,5f8170a41f61893e347c389646e4b3b2ea46586c06d36af2707ad2ad8ed9e81a,200,1767,"Aug 20, 2026",,বাংলাদেশে Mortgage Refinance Company (MRC) প্রতিষ্ঠার সম্ভাব্যতা যাচাই সংক্রান্ত World Bank গ্রুপের প্রতিনিধিদলের সঙ্গে বিএসইসির বৈঠক অনুষ্ঠিত।,press_release,https://sec.gov.bd/storage/press_releases/1787224695_press-release-20082026.pdf,True,"Aug 20, 2026 বাংলাদেশে Mortgage Refinance Company (MRC) প্রতিষ্ঠার সম্ভাব্যতা যাচাই সংক্রান্ত World Bank গ্রুপের প্রতিনিধিদলের সঙ্গে বিএসইসির বৈঠক অনুষ্ঠিত।"
bsec_publications,2026-09-08 09:50:03.876688+00:00,1,a4e388692d1a4e3fa50e0610a30f29c3,5f8170a41f61893e347c389646e4b3b2ea46586c06d36af2707ad2ad8ed9e81a,200,1767,"Aug 25, 2026",,১০২৬তম কমিশন সভা।,press_release,https://sec.gov.bd/storage/press_releases/1787814570_press-release-2582026.pdf,True,"Aug 25, 2026 ১০২৬তম কমিশন সভা।"
bsec_publications,2026-09-08 09:50:03.876688+00:00,1,a4e388692d1a4e3fa50e0610a30f29c3,5f8170a41f61893e347c389646e4b3b2ea46586c06d36af2707ad2ad8ed9e81a,200,1767,"Sep 01, 2026",,১০২৭তম কমিশন সভা।,press_release,https://sec.gov.bd/storage/press_releases/1788264826_press-release-01092026.pdf,True,"Sep 01, 2026 ১০২৭তম কমিশন সভা।"
bsec_publications,2026-09-08 09:50:03.876688+00:00,1,a4e388692d1a4e3fa50e0610a30f29c3,5f8170a41f61893e347c389646e4b3b2ea46586c06d36af2707ad2ad8ed9e81a,200,1767,"Sep 03, 2026",,ডাইরেক্ট লিস্টিংয়ের খসড়া বিধিমালা নিয়ে বিএসইসির মতবিনিময় সভা প্রসঙ্গে।,press_release,https://sec.gov.bd/storage/press_releases/1788437619_press-release-03092026.pdf,True,"Sep 03, 2026 ডাইরেক্ট লিস্টিংয়ের খসড়া বিধিমালা নিয়ে বিএসইসির মতবিনিময় সভা প্রসঙ্গে।"
bsec_publications,2026-09-08 09:50:03.876688+00:00,1,a4e388692d1a4e3fa50e0610a30f29c3,5f8170a41f61893e347c389646e4b3b2ea46586c06d36af2707ad2ad8ed9e81a,200,1767,"Sep 06, 2026",,বিএসইসি’র নতুন অফিসিয়াল ওয়েবসাইট চালুকরণ।,press_release,https://sec.gov.bd/storage/press_releases/1788685906_press-release-06092026.pdf,True,"Sep 06, 2026 বিএসইসি’র নতুন অফিসিয়াল ওয়েবসাইট চালুকরণ।"
bsec_publications,2026-09-08 09:50:03.876688+00:00,1,a4e388692d1a4e3fa50e0610a30f29c3,5f8170a41f61893e347c389646e4b3b2ea46586c06d36af2707ad2ad8ed9e81a,200,1767,,,Designated Officer,download,https://sec.gov.bd//downloads/RTI_21.06.2026.pdf,True,Designated Officer
bsec_publications,2026-09-08 09:50:03.876688+00:00,1,a4e388692d1a4e3fa50e0610a30f29c3,5f8170a41f61893e347c389646e4b3b2ea46586c06d36af2707ad2ad8ed9e81a,200,1767,,,"Right to Information Act, 2009",download,https://sec.gov.bd//downloads/Right%20to%20Information%20Act%202009_03_10_2022.pdf,True,"Right to Information Act, 2009"
bsec_publications,2026-09-08 09:50:03.876688+00:00,1,a4e388692d1a4e3fa50e0610a30f29c3,5f8170a41f61893e347c389646e4b3b2ea46586c06d36af2707ad2ad8ed9e81a,200,1767,,,Annual Procurement Plan,circular,https://sec.gov.bd/circular/Annual_Procurement_Plan_(APP)_10.08.2026.pdf,True,Annual Procurement Plan
bsec_publications,2026-09-08 09:50:03.876688+00:00,1,a4e388692d1a4e3fa50e0610a30f29c3,5f8170a41f61893e347c389646e4b3b2ea46586c06d36af2707ad2ad8ed9e81a,200,1767,,,Discover More,draft_rule,https://sec.gov.bd/storage/draft-rules/draft_rule_20260908103146_wN3CzE7ctFmyD9QqF6CGRPbR.pdf,True,Discover More
bsec_publications,2026-09-08 09:50:03.876688+00:00,1,a4e388692d1a4e3fa50e0610a30f29c3,5f8170a41f61893e347c389646e4b3b2ea46586c06d36af2707ad2ad8ed9e81a,200,1767,,,Discover More,press_release,https://www.sec.gov.bd/storage/press_releases/1788437619_press-release-03092026.pdf,True,Discover More
