source,t_recv,seq,epoch,body_sha256,http_status,elapsed_ms,symbol,sector,breaker_pct,tick_size,open_adj_price,lower_limit,upper_limit,reference_date
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BSC,Miscellaneous,10.0,0.1,112.7,101.5,123.9,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BSCPLC,Telecommunication,10.0,0.1,147.8,133.1,162.5,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BSRMLTD,Engineering,10.0,0.1,96.4,86.8,106.0,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BSRMSTEEL,Engineering,10.0,0.1,88.8,80.0,97.6,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BXPHARMA,Pharmaceuticals & Chemicals,10.0,0.1,150.0,135.0,165.0,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,CAPITECGBF,Mutual Funds,10.0,0.1,8.2,7.4,9.0,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,CAPMBDBLMF,Mutual Funds,10.0,0.1,7.5,6.8,8.2,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,CAPMIBBLMF,Mutual Funds,10.0,0.1,12.6,11.4,13.8,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,CBLPBOND,Corporate Bond,3.75,0.5,1037500.0,998594.0,1076406.0,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,CENTRALINS,Insurance,10.0,0.1,43.0,38.7,47.2,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,CENTRALPHL,Pharmaceuticals & Chemicals,10.0,0.1,10.0,9.0,11.0,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,CITYBANK,Bank,10.0,0.1,30.0,27.0,33.0,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,CITYGENINS,Insurance,10.0,0.1,128.2,115.4,141.0,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,CLICL,Insurance,10.0,0.1,44.0,39.6,48.4,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,CNATEX,Textile,10.0,0.1,3.0,2.7,3.2,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,CONFIDCEM,Cement,10.0,0.1,61.7,55.6,67.8,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,CONTININS,Insurance,10.0,0.1,34.7,31.3,38.1,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,COPPERTECH,Engineering,10.0,0.1,23.3,21.0,25.6,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,CROWNCEMNT,Cement,10.0,0.1,58.4,52.6,64.2,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,CRYSTALINS,Insurance,10.0,0.1,61.2,55.1,67.3,2026-09-08
