regime,door,footprint,window,n_fresh_doors,n_doors_with_footprint,recall,base_share_predoor_rows,recall_lift,lead_median,lead_p25,lead_p75
DISCOVERY,limit_up,F18_quiet_volume_repeat,10,3328,284,0.08533653846153846,0.046743671392541986,1.8256276394060484,3.0,2.0,7.0
DISCOVERY,abn_up,F01_quiet_volume,5,6150,583,0.09479674796747968,0.06662490825105821,1.4228424542104192,2.0,1.0,3.0
DISCOVERY,abn_up,F01_quiet_volume,10,6150,826,0.1343089430894309,0.11221516437547255,1.1968876384659781,3.0,2.0,6.0
DISCOVERY,abn_up,F02_quiet_volume_persistent,5,6150,1101,0.17902439024390243,0.1648638804421609,1.0858921296997461,2.0,1.0,3.0
DISCOVERY,abn_up,F02_quiet_volume_persistent,10,6150,1542,0.25073170731707317,0.24603892914498265,1.0190733157082033,3.0,1.0,6.0
DISCOVERY,abn_up,F03_dip_recovered,5,6150,399,0.06487804878048781,0.03849040568208785,1.6855641719224561,2.0,1.0,4.0
DISCOVERY,abn_up,F03_dip_recovered,10,6150,626,0.10178861788617886,0.07111439782341157,1.4313362835320111,4.0,2.0,7.0
DISCOVERY,abn_up,F04_dip_recovered_persistent,5,6150,77,0.012520325203252032,0.009045203944790591,1.3841949036940033,1.0,1.0,4.0
DISCOVERY,abn_up,F04_dip_recovered_persistent,10,6150,105,0.01707317073170732,0.014715702451973223,1.160200866212675,3.0,1.0,6.0
DISCOVERY,abn_up,F05_departure_calm,5,6150,1135,0.18455284552845527,0.17601999988962533,1.0484765688227504,3.0,1.0,4.0
DISCOVERY,abn_up,F05_departure_calm,10,6150,1826,0.2969105691056911,0.2948576442734864,1.0069624270290263,4.0,2.0,7.0
DISCOVERY,abn_up,F06_departure_any,5,6150,2536,0.41235772357723577,0.30121246571486915,1.3689928887856118,2.0,1.0,3.0
DISCOVERY,abn_up,F06_departure_any,10,6150,3325,0.540650406504065,0.4610929299507177,1.172541089627747,2.0,1.0,5.0
DISCOVERY,abn_up,F07_idio_activity,5,6150,583,0.09479674796747968,0.05563711017047367,1.7038402547691598,2.0,1.0,3.0
DISCOVERY,abn_up,F07_idio_activity,10,6150,744,0.12097560975609756,0.09556514588771585,1.2658967726396577,2.0,1.0,5.0
DISCOVERY,abn_up,F08u_idio_move_up,5,6150,1538,0.2500813008130081,0.12575261725928666,1.988676707200223,2.0,1.0,3.0
DISCOVERY,abn_up,F08u_idio_move_up,10,6150,2110,0.34308943089430893,0.22802026478882567,1.5046444718939838,3.0,1.0,6.0
