panel,cohort,horizon,exec_status,exec_note,n_occurrences,n_untradeable,n_no_outcome,n_measured,n_dates,gross_mean,gross_median,net_verified_mean,t_clustered,t_naive,excess_vs_base,t_excess,fail_share_gross,fail_share_net_verified,p05,p95,mfe_mean,mae_mean,net_est_+0.2%,net_est_+0.4%,p_clustered,survives_fdr10,p_excess,excess_survives_fdr10,eligible
POSTBREAK,path1=DEPARTURE→DEPARTURE,10,OK,sell 9 sessions after purchase,994,40,16,938,339,-0.01677965604836244,-0.01883535353434808,-0.024779656048362443,-4.707254709983375,-7.144147933198427,-0.0049681296493706145,-1.2624368756111188,0.6194029850746269,0.6396588486140725,-0.16705408466316635,0.14469293853631626,0.0823255678985848,-0.09132083584335073,-0.026779656048362445,-0.028779656048362443,2.5107511432390052e-06,True,0.20679162715101945,False,True
POSTBREAK,path1=DEPARTURE→DRIFT,1,UNKNOWN,same-session round trip — needs intraday netting / same-day sell,1541,39,16,1486,397,0.0013329996516025786,0.0,-0.006667000348397421,-6.553827290486328,-7.6352589258137575,0.001297964883647224,1.4124216047296005,0.5969044414535666,0.6527590847913862,-0.043922998230435356,0.0690474333815061,0.030033240982004487,-0.01958495216755975,-0.008667000348397421,-0.010667000348397421,5.608082424448271e-11,True,0.15782585876208746,False,True
POSTBREAK,path1=DEPARTURE→DRIFT,2,UNKNOWN,sell 1 session after purchase — depends on broker saleability,1541,39,20,1482,394,-0.0010587496110828535,-0.002092712719960482,-0.009058749611082854,-5.6786479981593505,-7.361514931825239,-0.00024412635777136405,-0.17156859930627766,0.573549257759784,0.6234817813765182,-0.06683258594449155,0.0843789266178709,0.041407991009811344,-0.03198471673419279,-0.011058749611082854,-0.013058749611082854,1.3576353770331844e-08,True,0.8637766954718242,False,True
POSTBREAK,path1=DEPARTURE→DRIFT,3,OK,sell 2 sessions after purchase — unaffected by the settlement question,1541,39,20,1482,395,-0.0020771580748208613,-0.00552491809329247,-0.010077158074820862,-5.504238836855328,-6.627791163650539,-0.0014098029871132468,-0.8055548199356349,0.5863697705802969,0.634952766531714,-0.08525107971362325,0.10405399656137072,0.04902668795994816,-0.04277787818827622,-0.012077158074820862,-0.014077158074820862,3.7076663226445084e-08,True,0.4204995852405684,False,True
POSTBREAK,path1=DEPARTURE→DRIFT,5,OK,sell 4 sessions after purchase,1541,39,25,1477,393,-0.004586071888782935,-0.007662872745569137,-0.012586071888782937,-5.898173546795266,-6.388125872869141,-0.0037438637735261126,-1.7454936047352372,0.5856465809072444,0.6289776574136764,-0.11491808675569506,0.125163142954006,0.06123114876185867,-0.05688911336260012,-0.014586071888782937,-0.016586071888782937,3.6754728502932595e-09,True,0.08089898470717204,False,True
POSTBREAK,path1=DEPARTURE→DRIFT,10,OK,sell 9 sessions after purchase,1541,39,30,1472,388,-0.015666199367808824,-0.018758109128894113,-0.023666199367808827,-6.906052826971301,-8.728981287160948,-0.009425069116238244,-3.2365773917581215,0.6188858695652174,0.6399456521739131,-0.17953342306926753,0.1568506833188451,0.08212652861825603,-0.08520319675737524,-0.025666199367808826,-0.027666199367808827,4.983244768872315e-12,True,0.0012097241858877855,True,True
POSTBREAK,path1=DEPARTURE→EXTREME,1,UNKNOWN,same-session round trip — needs intraday netting / same-day sell,151,12,1,138,97,-7.580997669476306e-05,0.0,-0.008075809976694763,-2.072557845104338,-2.78765470163124,0.0016489419344483498,0.5536565233211502,0.5797101449275363,0.6739130434782609,-0.04460335429672225,0.06322514386547001,0.03080025646386011,-0.022776100830460815,-0.010075809976694763,-0.012075809976694763,0.038213447625376734,True,0.5798139349280886,False,False
POSTBREAK,path1=DEPARTURE→EXTREME,2,UNKNOWN,sell 1 session after purchase — depends on broker saleability,151,12,0,139,97,-0.0034845639454706753,-0.007326040092072898,-0.011484563945470677,-2.2663219858989314,-2.831494051012604,0.0009160720765432657,0.23429068632493324,0.5755395683453237,0.6330935251798561,-0.06964463884603325,0.08628979967774525,0.04250276414160167,-0.03631902375687578,-0.013484563945470677,-0.015484563945470677,0.02343167625294939,True,0.8147593159673978,False,False
POSTBREAK,path1=DEPARTURE→EXTREME,3,OK,sell 2 sessions after purchase — unaffected by the settlement question,151,12,0,139,97,-0.006446924610182108,-0.008174432439558175,-0.014446924610182106,-2.4198637184932292,-3.1154070990492624,-0.001407073678160206,-0.27816208803141657,0.6474820143884892,0.6834532374100719,-0.08680629485800515,0.081000208391274,0.04910056807680522,-0.04566659495158095,-0.016446924610182108,-0.018446924610182106,0.015526324749934726,True,0.7808879361692668,False,False
POSTBREAK,path1=DEPARTURE→EXTREME,5,OK,sell 4 sessions after purchase,151,12,1,138,96,-0.006774031148707586,-0.015211730670663646,-0.014774031148707584,-1.5180862414843372,-2.4846905229659297,0.0006690518935912869,0.10712020320671145,0.572463768115942,0.6159420289855072,-0.10922121086417698,0.10729088500725706,0.060307741197806235,-0.06066386090675303,-0.016774031148707583,-0.018774031148707584,0.1289926591296197,False,0.9146936195449239,False,False
