footprint,regime,F01_quiet_volume,F02_quiet_volume_persistent,F03_absorption,F04_absorption_persistent,F05_departure_calm,F06_departure_any,F07_idio_activity,F08_idio_move,F09_idio_quiet_volume,F10_coil_then_volume,F11_closing_strength,F12_accumulation_proxy,F13_volume_price_divergence,F14_turnover_no_range,F15_REF_abnormal_volume,F16_REF_already_moved,F17_abnormal_volume_persistent,F18_quiet_volume_repeat
F04_absorption_persistent,FLOOR,0.028037383177570093,0.024035850081477458,0.19651567944250872,1.0,0.004683038263849229,0.010287523080981272,0.022954091816367265,0.02731825770223099,0.01565217391304348,0.0,0.0231990231990232,0.017130620985010708,0.009847806624888093,0.0035335689045936395,0.04342296511627907,0.026482513938165232,0.051055867415129644,0.025825825825825825
F05_departure_calm,FLOOR,0.08109868635327326,0.027032590051457975,0.011950868651101029,0.004683038263849229,1.0,0.750694058856191,0.018811136192626036,0.0,0.020781379883624274,0.003400534369686665,0.00413022351797862,0.005158968206358729,0.009081259582497937,0.009017791859614916,0.06012556342562782,0.0,0.04604051565377532,0.04363719442540553
F06_departure_any,FLOOR,0.0627467450650987,0.04372747148850677,0.024046362771386557,0.010287523080981272,0.750694058856191,1.0,0.05066896849374191,0.07668281489036206,0.015744489428699954,0.00559889857732905,0.0031118433095368844,0.009758321933424532,0.011781635039122223,0.007991182143841279,0.15659400743602828,0.09618623676612127,0.09523067331670823,0.033368273934311674
F07_idio_activity,FLOOR,0.1774193548387097,0.041149658141301594,0.04486062717770035,0.022954091816367265,0.018811136192626036,0.05066896849374191,1.0,0.07316721878150656,0.35431918008784774,0.018132975151108125,0.015364061456245824,0.013664596273291925,0.07738095238095238,0.03578663065496286,0.2700138367266258,0.06499333090820905,0.20722135007849293,0.12523540489642185
F08_idio_move,FLOOR,0.0,0.040855718192054045,0.03745809648739251,0.02731825770223099,0.0,0.07668281489036206,0.07316721878150656,1.0,0.0,0.0071070909384590535,0.0,0.005541481950601647,0.014134824479652065,0.002243949350857509,0.1347113328581611,0.8142972319269014,0.07535430349118562,0.0
F09_idio_quiet_volume,FLOOR,0.26218851570964247,0.022993311036789296,0.027081922816519974,0.01565217391304348,0.020781379883624274,0.015744489428699954,0.35431918008784774,0.0,1.0,0.020933977455716585,0.03739837398373984,0.005361930294906166,0.09433962264150944,0.06535947712418301,0.09567108124135204,0.0,0.0976470588235294,0.214170692431562
F10_coil_then_volume,FLOOR,0.016293279022403257,0.0022886568445143756,0.005097706032285472,0.0,0.003400534369686665,0.00559889857732905,0.018132975151108125,0.0071070909384590535,0.020933977455716585,1.0,0.013333333333333334,0.0,0.03484320557491289,0.06,0.014410905550146057,0.007455731593662628,0.0026556506344054295,0.009458297506448839
F11_closing_strength,FLOOR,0.03734439834024896,0.005017201834862386,0.04766107678729038,0.0231990231990232,0.00413022351797862,0.0031118433095368844,0.015364061456245824,0.0,0.03739837398373984,0.013333333333333334,1.0,0.004784688995215311,0.005042016806722689,0.048859934853420196,0.014005057381832327,0.0,0.014311270125223614,0.03333333333333333
F12_accumulation_proxy,FLOOR,0.010526315789473684,0.0021102982554867754,0.009324009324009324,0.017130620985010708,0.005158968206358729,0.009758321933424532,0.013664596273291925,0.005541481950601647,0.005361930294906166,0.0,0.004784688995215311,1.0,0.0,0.0023094688221709007,0.016997708174178762,0.007078254030672434,0.024489795918367346,0.01335428122545169
F13_volume_price_divergence,FLOOR,0.1275233874938454,0.036779324055666,0.008879781420765027,0.009847806624888093,0.009081259582497937,0.011781635039122223,0.07738095238095238,0.014134824479652065,0.09433962264150944,0.03484320557491289,0.005042016806722689,0.0,1.0,0.05335628227194492,0.08776438031231469,0.014453477868112014,0.08588235294117647,0.11890243902439024
F14_turnover_no_range,FLOOR,0.06111696522655427,0.006879747742582772,0.0025041736227045075,0.0035335689045936395,0.009017791859614916,0.007991182143841279,0.03578663065496286,0.002243949350857509,0.06535947712418301,0.06,0.048859934853420196,0.0023094688221709007,0.05335628227194492,1.0,0.02893700787401575,0.002378749834809039,0.016061867935752528,0.048372911169744945
F15_REF_abnormal_volume,FLOOR,0.36489424787507413,0.11333271045501261,0.06802244039270687,0.04342296511627907,0.06012556342562782,0.15659400743602828,0.2700138367266258,0.1347113328581611,0.09567108124135204,0.014410905550146057,0.014005057381832327,0.016997708174178762,0.08776438031231469,0.02893700787401575,1.0,0.1769811320754717,0.6420241154378336,0.2024115437833564
F16_REF_already_moved,FLOOR,0.0,0.044489975120737595,0.03757367387033399,0.026482513938165232,0.0,0.09618623676612127,0.06499333090820905,0.8142972319269014,0.0,0.007455731593662628,0.0,0.007078254030672434,0.014453477868112014,0.002378749834809039,0.1769811320754717,1.0,0.0999381188118812,0.0
F17_abnormal_volume_persistent,FLOOR,0.3562300319488818,0.09196023341257835,0.06678295539496636,0.051055867415129644,0.04604051565377532,0.09523067331670823,0.20722135007849293,0.07535430349118562,0.0976470588235294,0.0026556506344054295,0.014311270125223614,0.024489795918367346,0.08588235294117647,0.016061867935752528,0.6420241154378336,0.0999381188118812,1.0,0.26054883446444377
F18_quiet_volume_repeat,FLOOR,0.5547128927410617,0.06471223993515267,0.03159478435305918,0.025825825825825825,0.04363719442540553,0.033368273934311674,0.12523540489642185,0.0,0.214170692431562,0.009458297506448839,0.03333333333333333,0.01335428122545169,0.11890243902439024,0.048372911169744945,0.2024115437833564,0.0,0.26054883446444377,1.0
F01_quiet_volume,POSTBREAK,1.0,0.08569477637418914,0.04468085106382979,0.016352201257861635,0.25257731958762886,0.12471719457013575,0.2685656154628688,0.0,0.3905325443786982,0.011095700416088766,0.05825242718446602,0.012706480304955527,0.08038147138964577,0.14718019257221457,0.4429882044560944,0.0,0.44,0.5458579881656804
F02_quiet_volume_persistent,POSTBREAK,0.08569477637418914,1.0,0.012977649603460706,0.014236244709503656,0.056857067649381414,0.06182549844521675,0.05128205128205128,0.011441647597254004,0.03903903903903904,0.0015667841754798276,0.01092469761997659,0.0019083969465648854,0.022230889235569422,0.02700617283950617,0.1016949152542373,0.01841421143847487,0.075,0.07683658170914542
F03_absorption,POSTBREAK,0.04468085106382979,0.012977649603460706,1.0,0.12886597938144329,0.035327635327635325,0.03619649525998277,0.04529201430274136,0.02843966179861645,0.034482758620689655,0.014124293785310734,0.062162162162162166,0.004705882352941176,0.016826923076923076,0.0,0.048654836863194044,0.020799347471451877,0.033816425120772944,0.022727272727272728
F04_absorption_persistent,POSTBREAK,0.016352201257861635,0.014236244709503656,0.12886597938144329,1.0,0.007975460122699387,0.00615474794841735,0.015895953757225433,0.008665511265164644,0.017994858611825194,0.0,0.013888888888888888,0.0,0.008097165991902834,0.0034602076124567475,0.015931372549019607,0.0034467901766479965,0.013574660633484163,0.010080645161290322
F05_departure_calm,POSTBREAK,0.25257731958762886,0.056857067649381414,0.035327635327635325,0.007975460122699387,1.0,0.4577400787640109,0.07931570762052877,0.0003933910306845004,0.09432799013563502,0.0019218449711723255,0.022392834293026232,0.015556938394523958,0.022613065326633167,0.042473454091193005,0.16987673343605547,0.0,0.14149523331660813,0.13663845223700122
F06_departure_any,POSTBREAK,0.12471719457013575,0.06182549844521675,0.03619649525998277,0.00615474794841735,0.4577400787640109,1.0,0.10786838340486408,0.10563919367185506,0.04484173505275498,0.0063006300630063005,0.010438413361169102,0.011528229382205143,0.022740873728306403,0.026714158504007122,0.29064171122994653,0.18978576065786626,0.15746013667425968,0.06562137049941928
F07_idio_activity,POSTBREAK,0.2685656154628688,0.05128205128205128,0.04529201430274136,0.015895953757225433,0.07931570762052877,0.10786838340486408,1.0,0.07152406417112299,0.46234676007005254,0.014634146341463415,0.03296703296703297,0.013177159590043924,0.08688783570300158,0.09131736526946108,0.37418086500655307,0.06013021830716201,0.2702188392007612,0.18090452261306533
F08_idio_move,POSTBREAK,0.0,0.011441647597254004,0.02843966179861645,0.008665511265164644,0.0003933910306845004,0.10563919367185506,0.07152406417112299,1.0,0.0,0.015917602996254682,0.0,0.006108202443280977,0.009666080843585237,0.009329940627650551,0.1248900615655233,0.3912106850495476,0.04845300642148278,0.0
F09_idio_quiet_volume,POSTBREAK,0.3905325443786982,0.03903903903903904,0.034482758620689655,0.017994858611825194,0.09432799013563502,0.04484173505275498,0.46234676007005254,0.0,1.0,0.009554140127388535,0.06363636363636363,0.013157894736842105,0.08238636363636363,0.12834224598930483,0.17300131061598953,0.0,0.1884393063583815,0.294478527607362
F10_coil_then_volume,POSTBREAK,0.011095700416088766,0.0015667841754798276,0.014124293785310734,0.0,0.0019218449711723255,0.0063006300630063005,0.014634146341463415,0.015917602996254682,0.009554140127388535,1.0,0.007194244604316547,0.005780346820809248,0.017964071856287425,0.02926829268292683,0.01674179008370895,0.009874326750448833,0.007398273736128237,0.0
F11_closing_strength,POSTBREAK,0.05825242718446602,0.01092469761997659,0.062162162162162166,0.013888888888888888,0.022392834293026232,0.010438413361169102,0.03296703296703297,0.0,0.06363636363636363,0.007194244604316547,1.0,0.009708737864077669,0.03553299492385787,0.03375527426160337,0.02673456397199236,0.0,0.027777777777777776,0.03167420814479638
F12_accumulation_proxy,POSTBREAK,0.012706480304955527,0.0019083969465648854,0.004705882352941176,0.0,0.015556938394523958,0.011528229382205143,0.013177159590043924,0.006108202443280977,0.013157894736842105,0.005780346820809248,0.009708737864077669,1.0,0.017094017094017096,0.01824817518248175,0.012292562999385371,0.006513243595310464,0.021939953810623556,0.012396694214876033
F13_volume_price_divergence,POSTBREAK,0.08038147138964577,0.022230889235569422,0.016826923076923076,0.008097165991902834,0.022613065326633167,0.022740873728306403,0.08688783570300158,0.009666080843585237,0.08238636363636363,0.017964071856287425,0.03553299492385787,0.017094017094017096,1.0,0.06177606177606178,0.07667103538663171,0.008718395815170008,0.07439024390243902,0.0728476821192053
F14_turnover_no_range,POSTBREAK,0.14718019257221457,0.02700617283950617,0.0,0.0034602076124567475,0.042473454091193005,0.026714158504007122,0.09131736526946108,0.009329940627650551,0.12834224598930483,0.02926829268292683,0.03375527426160337,0.01824817518248175,0.06177606177606178,1.0,0.09492847854356307,0.007271171941830625,0.10023866348448687,0.1406926406926407
F15_REF_abnormal_volume,POSTBREAK,0.4429882044560944,0.1016949152542373,0.048654836863194044,0.015931372549019607,0.16987673343605547,0.29064171122994653,0.37418086500655307,0.1248900615655233,0.17300131061598953,0.01674179008370895,0.02673456397199236,0.012292562999385371,0.07667103538663171,0.09492847854356307,1.0,0.13333333333333333,0.5006553079947575,0.2418086500655308
F16_REF_already_moved,POSTBREAK,0.0,0.01841421143847487,0.020799347471451877,0.0034467901766479965,0.0,0.18978576065786626,0.06013021830716201,0.3912106850495476,0.0,0.009874326750448833,0.0,0.006513243595310464,0.008718395815170008,0.007271171941830625,0.13333333333333333,1.0,0.04518178609248147,0.0
F17_abnormal_volume_persistent,POSTBREAK,0.44,0.075,0.033816425120772944,0.013574660633484163,0.14149523331660813,0.15746013667425968,0.2702188392007612,0.04845300642148278,0.1884393063583815,0.007398273736128237,0.027777777777777776,0.021939953810623556,0.07439024390243902,0.10023866348448687,0.5006553079947575,0.04518178609248147,1.0,0.37001209189842804
F18_quiet_volume_repeat,POSTBREAK,0.5458579881656804,0.07683658170914542,0.022727272727272728,0.010080645161290322,0.13663845223700122,0.06562137049941928,0.18090452261306533,0.0,0.294478527607362,0.0,0.03167420814479638,0.012396694214876033,0.0728476821192053,0.1406926406926407,0.2418086500655308,0.0,0.37001209189842804,1.0
