panel,cohort,horizon,exec_status,exec_note,n_occurrences,n_untradeable,n_no_outcome,n_measured,n_dates,gross_mean,gross_median,net_verified_mean,t_clustered,t_naive,excess_vs_base,t_excess,fail_share_gross,fail_share_net_verified,p05,p95,mfe_mean,mae_mean,net_est_+0.2%,net_est_+0.4%,p_clustered,survives_fdr10,p_excess,excess_survives_fdr10,eligible
POSTBREAK,path2=DEPARTURE→DRIFT→CALM,1,UNKNOWN,same-session round trip — needs intraday netting / same-day sell,397,13,0,384,231,-0.008901703878868497,-0.007973552179804048,-0.0169017038788685,-8.04652790069742,-9.717812310658537,-0.0013206839613915187,-0.6852174784256125,0.6848958333333334,0.7369791666666666,-0.06158486883280283,0.0444361967533548,0.02033196092642896,-0.027149257933953924,-0.018901703878868498,-0.0209017038788685,8.517597583038781e-16,True,0.49320669605603124,False,True
POSTBREAK,path2=DEPARTURE→DRIFT→CALM,2,UNKNOWN,sell 1 session after purchase — depends on broker saleability,397,13,8,376,226,-0.009896909624017163,-0.008930232601036366,-0.017896909624017167,-5.935635397997928,-7.86508279795199,-0.0008692845643136542,-0.35727257133914975,0.6462765957446809,0.6914893617021277,-0.07898971844324384,0.059833309906501306,0.02951230591719296,-0.0387140982566496,-0.01989690962401717,-0.021896909624017167,2.927096416188042e-09,True,0.720887761694259,False,True
POSTBREAK,path2=DEPARTURE→DRIFT→CALM,3,OK,sell 2 sessions after purchase — unaffected by the settlement question,397,13,2,382,230,-0.011005004607146287,-0.014820866365857803,-0.019005004607146287,-5.516971349909332,-6.891855647086912,-0.002737155075694924,-0.9083477640020259,0.6308900523560209,0.6675392670157068,-0.09270025526120083,0.08134150568519306,0.036882180441929424,-0.04630200446509451,-0.021005004607146285,-0.023005004607146287,3.448916332125451e-08,True,0.3636945145182715,False,True
POSTBREAK,path2=DEPARTURE→DRIFT→CALM,5,OK,sell 4 sessions after purchase,397,13,4,380,229,-0.017412490261646672,-0.018943290134149908,-0.025412490261646672,-6.490918934927062,-7.642759240304285,-0.005087557039972105,-1.525459892862836,0.6684210526315789,0.7105263157894737,-0.12386266362703131,0.08010785426255718,0.046059932502801146,-0.06024527922442509,-0.027412490261646674,-0.029412490261646673,8.531437855428261e-11,True,0.12714442988473726,False,True
POSTBREAK,path2=DEPARTURE→DRIFT→CALM,10,OK,sell 9 sessions after purchase,397,13,5,379,227,-0.028191445751457416,-0.03236528450203166,-0.03619144575145742,-6.320638753746,-7.471965862079732,-0.009604134603064803,-2.0791115981502015,0.6860158311345647,0.7097625329815304,-0.1697606180461832,0.12309999752774432,0.06609057132993029,-0.08890817364649949,-0.03819144575145742,-0.040191445751457416,2.604843181100775e-10,True,0.0376070943236492,False,True
POSTBREAK,path2=DEPARTURE→DEPARTURE→DEPARTURE,1,UNKNOWN,same-session round trip — needs intraday netting / same-day sell,394,16,0,378,227,-0.007975019339401725,-0.009009252751339151,-0.015975019339401725,-6.608124282390083,-7.7548905712265785,0.0011945261650283593,0.5505584478672028,0.6507936507936508,0.7116402116402116,-0.07008798337403677,0.06197214670757441,0.025348305924635172,-0.032813321149359524,-0.017975019339401724,-0.019975019339401726,3.8921988067920876e-11,True,0.5819363998852806,False,True
POSTBREAK,path2=DEPARTURE→DEPARTURE→DEPARTURE,2,UNKNOWN,sell 1 session after purchase — depends on broker saleability,394,16,2,376,226,-0.00942310273140497,-0.011288670678826159,-0.01742310273140497,-5.479805607589842,-6.493603233797142,0.00046549372417746635,0.17134461037709495,0.6223404255319149,0.6914893617021277,-0.08555549122324498,0.08303011477301837,0.03705478748466944,-0.04500448890613185,-0.01942310273140497,-0.02142310273140497,4.257933904142489e-08,True,0.8639528050824787,False,True
POSTBREAK,path2=DEPARTURE→DEPARTURE→DEPARTURE,3,OK,sell 2 sessions after purchase — unaffected by the settlement question,394,16,7,371,224,-0.01297839541953118,-0.018293193047325487,-0.02097839541953118,-5.437520952104588,-6.315476923255011,-0.002272221359957094,-0.6985152638370347,0.6549865229110512,0.6846361185983828,-0.09643897619805467,0.10267856359788913,0.04512979103621693,-0.0557811125596762,-0.02297839541953118,-0.02497839541953118,5.402699881384693e-08,True,0.48485501552784227,False,True
POSTBREAK,path2=DEPARTURE→DEPARTURE→DEPARTURE,5,OK,sell 4 sessions after purchase,394,16,4,374,225,-0.014371983795197718,-0.020064678343408346,-0.02237198379519772,-4.784403371386639,-5.70479837532566,-0.0006512189512558776,-0.16855472654592693,0.6390374331550802,0.6764705882352942,-0.11524647197672137,0.12117077098276219,0.056635350669040095,-0.06915198422491951,-0.02437198379519772,-0.026371983795197722,1.7149597462922664e-06,True,0.8661468939040795,False,True
POSTBREAK,path2=DEPARTURE→DEPARTURE→DEPARTURE,10,OK,sell 9 sessions after purchase,394,16,4,374,224,-0.02090835512312758,-0.030030041548382416,-0.028908355123127585,-3.6258468668376036,-5.304842632763395,0.0024472796962321727,0.42001537710870995,0.6577540106951871,0.6898395721925134,-0.16299197793146605,0.15664179354636038,0.07788474005219158,-0.09379848889932468,-0.030908355123127583,-0.032908355123127585,0.0002880160025050544,True,0.6744742203651248,False,True
