regime,variant,footprint,outcome,horizon,door_outcome,n_guarded_rows,n_population,n_occurrences,n_no_outcome,n_measured,n_dates,n_hit,n_failed,hit_rate,fail_share,base_sameday,excess_sameday,lift_sameday,t_sameday,base_volmatched,excess_volmatched,lift_volmatched,t_volmatched,p_sameday,fdr10_sameday,p_volmatched,fdr10_volmatched,eligible,lift_vm_vs_ref_volume,lift_vm_vs_ref_moved,pass_prereg,beats_both_refs,tier,status
DISCOVERY,fresh,F08_idio_move,run20,10,True,362402,324571,8442,746,7696,910,336,7360,0.04365904365904366,0.9563409563409564,0.03268563552404591,0.010973408134997753,1.335725708222039,3.8791147324977513,0.02630509392003734,0.017353949739006322,1.6597182200435834,5.935766839795232,0.00010483730184395272,True,2.924752063109579e-09,True,True,1.173713760468379,1.1433741903579255,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F17_abnormal_volume_persistent,abn_down,1,True,362402,349931,8605,85,8520,1277,143,8377,0.016784037558685447,0.9832159624413146,0.004723210240594875,0.012060827318090571,3.5535232826247314,5.864826716133009,0.005100710945607652,0.011683326613077794,3.2905290532369014,5.794834223128425,4.4960198545982796e-09,True,6.83887004934292e-09,True,True,1.3005268759577442,1.1657428624261328,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F08_idio_move,limit_up,1,True,362402,324571,8442,104,8338,918,161,8177,0.019309186855360996,0.980690813144639,0.006856280850619489,0.012452906004741507,2.8162771152550357,5.2231551011684,0.005632108970400011,0.013677077884960986,3.4284114453115055,5.708828688203855,1.7589993456688107e-07,True,1.1375631837211862e-08,True,True,1.4289392627289819,1.1446194992327323,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F14_turnover_no_range,limit_down,5,True,362402,349931,1141,109,1032,624,42,990,0.040697674418604654,0.9593023255813954,0.005975734873908995,0.03472193954469566,6.810488630661501,5.454684803329709,0.007305749411174876,0.03339192500742978,5.570636512163076,5.350808480952108,4.9059789398775104e-08,True,8.756215250427765e-08,True,True,2.63715540324357,2.662588957287466,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F07_idio_activity,limit_down,3,True,362402,349931,5654,186,5468,844,76,5392,0.013899049012435992,0.986100950987564,0.0038452483094853786,0.010053800702950613,3.614603763858398,5.4158850553121045,0.004468530189657544,0.009430518822778448,3.1104296989210174,5.208354786110496,6.098627240275289e-08,True,1.90522369808817e-07,True,True,1.3858539983021925,1.4534141946327377,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F12_accumulation_proxy,limit_down,5,True,362402,349931,1482,40,1442,725,54,1388,0.03744798890429958,0.9625520110957004,0.0063849557986342745,0.031063033105665307,5.865034948606787,5.434417136328956,0.008958382484673129,0.028489606419626452,4.180217686437171,5.142621415514052,5.497583718511018e-08,True,2.7093123435860943e-07,True,True,1.9789271180146613,1.9980125119747796,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F08_idio_move,limit_down,3,True,362402,349931,12549,329,12220,925,115,12105,0.009410801963993453,0.9905891980360065,0.004938491244011328,0.0044723107199821244,1.9056026423870815,4.379591099680124,0.003965688958963963,0.0054451130050294895,2.373055996416831,5.136127469387807,1.1890220730451342e-05,True,2.8045746779397944e-07,True,True,1.057316660129012,1.1088607053382364,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F07_idio_activity,limit_up,3,True,362402,324571,3241,145,3096,790,113,2983,0.03649870801033592,0.963501291989664,0.01555766879923449,0.02094103921110143,2.3460268039728307,5.33604798799067,0.016825108855788036,0.01967359915454788,2.1692999625247555,5.124652624441617,9.499427049871445e-08,True,2.980868040351536e-07,True,True,1.1826299233174475,1.0198203324880113,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F07_idio_activity,limit_up,2,True,362402,324571,3241,109,3132,792,92,3040,0.02937420178799489,0.9706257982120051,0.010215900393918655,0.019158301394076236,2.8753414437635705,5.369263566734471,0.011462238028005306,0.017911963759989585,2.562693403873299,5.094056237258516,7.905880774546546e-08,True,3.5048272860118327e-07,True,True,1.2500379161778654,1.0715641827703812,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F07_idio_activity,abn_down,1,True,362402,349931,5654,75,5579,847,85,5494,0.015235705323534684,0.9847642946764653,0.005070540605963831,0.010165164717570853,3.004749691899689,4.9699309101904054,0.00514214764454136,0.010093557678993323,2.9629070140971403,5.054381440836992,6.697676307764602e-07,True,4.3178788177503675e-07,True,True,1.171039714421151,1.0496754922489957,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
