regime,feature,sessions_before_door,n_events,n_dates,mean_excess_vs_xs,t_over_dates
FLOOR,accumulation_proxy,8,548,228,0.004057188184992623,0.28466632470160735
FLOOR,accumulation_proxy,9,544,229,0.0055920494465137825,0.6519651584040544
FLOOR,accumulation_proxy,10,535,228,0.00869294168767573,0.5063042721256726
FLOOR,amihud_z,1,633,251,-0.11341348218486005,-2.445399673107338
FLOOR,amihud_z,2,610,244,-0.14006155059214948,-3.4992291611971167
FLOOR,amihud_z,3,610,244,-0.11998975803756955,-3.3864477567066427
FLOOR,amihud_z,4,598,243,-0.09998760725668043,-2.9097451808005177
FLOOR,amihud_z,5,594,241,-0.17947704504613257,-3.9644031323348097
FLOOR,amihud_z,6,579,238,-0.17517883771039178,-2.3895323620829765
FLOOR,amihud_z,7,581,235,-0.10661109531472368,-0.9754809433670494
FLOOR,amihud_z,8,578,236,-0.0887504148925049,-1.1121652696389452
FLOOR,amihud_z,9,585,238,-0.11657659254279955,-2.1902481420050193
FLOOR,amihud_z,10,573,232,-0.12758232827918545,-1.7085274584043821
FLOOR,ret_1,1,701,261,0.0007991056739792028,1.2054538124110705
FLOOR,ret_1,2,697,260,-0.005209248398911442,-2.8131819189853493
FLOOR,ret_1,3,694,259,0.002052342182728574,0.5161165854932902
FLOOR,ret_1,4,693,258,-0.005402229619037583,-3.4985456161076187
FLOOR,ret_1,5,691,257,-0.005336185594767606,-2.0699788884301316
FLOOR,ret_1,6,689,256,0.0009769692530732146,1.349510963312302
FLOOR,ret_1,7,687,255,0.0021361569886230044,0.9736937591569161
FLOOR,ret_1,8,687,255,0.003192199974711337,1.5199715990077673
FLOOR,ret_1,9,687,255,0.0010349872408209866,1.2707243564777795
FLOOR,ret_1,10,684,254,0.002873429253200823,2.752935594989039
POSTBREAK,rel_volume_z,1,312,182,0.37793468918444606,5.543980516499739
POSTBREAK,rel_volume_z,2,308,180,0.12200978472377104,1.331392115059943
POSTBREAK,rel_volume_z,3,308,180,0.1405630195220467,2.0861661811615155
POSTBREAK,rel_volume_z,4,307,179,0.027511666122390494,-0.5957489391063695
POSTBREAK,rel_volume_z,5,307,179,0.14843138045971976,2.133610953839969
POSTBREAK,rel_volume_z,6,307,179,-0.0025488121712441496,-0.3233198450154815
POSTBREAK,rel_volume_z,7,306,178,0.03418726217248271,0.682282458985498
POSTBREAK,rel_volume_z,8,306,178,0.03365184800922548,1.0784815045972216
