regime,variant,footprint,outcome,horizon,door_outcome,placebo,n_guarded_rows,n_population,n_occurrences,n_no_outcome,unmeasurable_share,n_measured,n_dates,n_hit,n_failed,n_distinct_doors,n_symbols_hit,top3_symbol_share,hit_rate,fail_share,base_sameday,lift_sameday,t_sameday,base_volmatched,excess_volmatched,lift_volmatched,t_volmatched,t_volmatched_nw,base_shockmatched,lift_shockmatched,t_shockmatched_nw,within_parent,within_parent_t_nw,within_parent_dates,within_parent_diff,within_parent_test,ref_moved_used,lift_vm_vs_ref_volume,lift_vm_vs_ref_moved,p_volmatched_nw,fdr10_volmatched_nw,eligible
DISCOVERY,fresh_both,F01_quiet_volume,limit_down(first),3,True,False,362402.0,315269.0,4027.0,241.0,0.05984603923516265,3786.0,1097.0,3.0,3783.0,3.0,3.0,1.0,0.000792393026941363,0.9992076069730587,0.000507474494733548,1.5614440433255918,1.1049526291779177,0.0005968391382147866,0.00019555388872657638,1.327649237802166,0.941846780127685,0.943400859750268,0.0007137587862627483,1.1101692086907184,0.574308278272578,F15_REF_abnormal_volume,-0.7750858199207599,1008.0,-0.0006200396825396824,paired-by-date,"MAX(F16u,F16d)",0.7671478021745073,1.1349843102981276,,False,False
DISCOVERY,fresh_both,F02_quiet_volume_persistent,limit_down(first),3,True,False,362402.0,315269.0,21559.0,782.0,0.03627255438563941,20777.0,1389.0,8.0,20769.0,8.0,8.0,0.375,0.0003850411512730423,0.999614958848727,0.0005698165909217036,0.6757282209881273,0.2290469110591981,0.000753336696808643,-0.00036829554553560067,0.5111142904682467,-0.4101882098155537,-0.4219311360403687,0.0007522343079690146,0.5118633213002863,-0.5120998880209954,,,,,,"MAX(F16u,F16d)",0.2953341842321197,0.43694274355999896,,False,False
DISCOVERY,fresh_both,F03_dip_recovered,limit_down(first),3,True,False,362402.0,315269.0,2170.0,99.0,0.0456221198156682,2071.0,919.0,2.0,2069.0,2.0,2.0,1.0,0.0009657170449058426,0.9990342829550941,0.00044447863354517536,2.1726962153461766,0.901612953837697,0.00031098766398145704,0.0006547293809243855,3.10532267596127,1.0424836647899007,1.054551270984537,0.0005376470731371745,1.7961913923773019,0.9167321553494097,,,,,,"MAX(F16u,F16d)",1.794330458736216,2.6546865054986952,,False,False
DISCOVERY,fresh_both,F04_dip_recovered_persistent,limit_down(first),3,True,False,362402.0,315269.0,1034.0,22.0,0.02127659574468085,1012.0,639.0,0.0,1012.0,0.0,0.0,,0.0,1.0,0.0004677388541486625,0.0,-6.475960921612854,0.0004547709454234813,-0.0004547709454234813,0.0,-3.3225965357522442,-2.9852104012014733,0.00043917435221783044,0.0,-1.2829077102397626,,,,,,"MAX(F16u,F16d)",0.0,0.0,,False,False
DISCOVERY,fresh_both,F05_departure_calm,limit_down(first),3,True,False,362402.0,315269.0,12657.0,551.0,0.04353322272260409,12106.0,1374.0,6.0,12100.0,6.0,6.0,0.5,0.0004956220056170494,0.999504377994383,0.0005349304584037183,0.9265167047994072,-0.30319772388756877,0.0004507069192262001,4.491508639084931e-05,1.0996547522899407,-0.03369328571734207,-0.03666830349264523,0.0004891967028510891,1.013134395077712,0.0318398599250937,F06_departure_any,-0.5264723987440346,1341.0,-0.0002133138072077406,paired-by-date,"MAX(F16u,F16d)",0.6354070806883447,0.9400757783433727,,False,False
DISCOVERY,fresh_both,F06_departure_any,limit_down(first),3,True,False,362402.0,315269.0,22952.0,958.0,0.041739281979783896,21994.0,1383.0,14.0,21980.0,14.0,14.0,0.21428571428571427,0.0006365372374283895,0.9993634627625716,0.0005725739651629923,1.111711806957882,-0.020633293502621084,0.0004967957029617412,0.00013974153446664832,1.2812857148996113,0.4250545352161837,0.42043263864176045,0.0005801214966214512,1.0972481473889453,0.14582902787500557,,,,,,"MAX(F16u,F16d)",0.7403578386185893,1.095348938570231,,False,False
DISCOVERY,fresh_both,F07_idio_activity,limit_down(first),3,True,False,362402.0,315269.0,3068.0,157.0,0.051173402868318126,2911.0,781.0,4.0,2907.0,4.0,4.0,0.75,0.0013740982480247338,0.9986259017519753,0.0004951041911424872,2.775371876481003,1.213104063815675,0.0005053159213779026,0.0008687823266468312,2.7192854804135664,1.2200323767340238,1.2411244857372121,0.0007027258401356649,1.9553831231813774,0.8169472062881228,F15_REF_abnormal_volume,0.47322670072051165,1318.0,0.0008177356073853494,between-dates (Welch),"MAX(F16u,F16d)",1.5712688414883624,2.3246700013929456,,False,False
DISCOVERY,fresh_both,F08u_idio_move_up,limit_down(first),3,True,False,362402.0,315269.0,5496.0,172.0,0.03129548762736536,5324.0,889.0,2.0,5322.0,2.0,2.0,1.0,0.0003756574004507889,0.9996243425995492,0.0005468972258857707,0.6868884731356303,-0.6427941535613327,0.00040068857391554574,-2.503117346475684e-05,0.9375296050492502,-0.10048039415120981,-0.09923012490287175,0.00042261457550713747,0.888888888888889,-0.4290526537882523,F16u_REF_moved_up,-1.0397098493432773,154.0,-0.0021645021645021645,paired-by-date,F16u_REF_moved_up,0.541727254088356,0.8014778014202113,,False,False
DISCOVERY,fresh_both,F08d_idio_move_down,limit_down(first),3,True,False,362402.0,315269.0,2174.0,111.0,0.05105795768169273,2063.0,696.0,1.0,2062.0,1.0,1.0,1.0,0.0004847309743092584,0.9995152690256908,0.0005236234335512153,0.9257243722302722,-0.4690535989783081,0.0004589309103097898,2.580006399946857e-05,1.0562177517789177,-0.27093234720439746,-0.26650545584253593,0.0005210857973824527,0.930232558139535,-0.2976405534736669,F16d_REF_moved_down,,138.0,0.0,paired-by-date,F16d_REF_moved_down,0.6103081324674671,1.0166040877104785,,False,False
DISCOVERY,fresh_both,F09_idio_quiet_volume,limit_down(first),3,True,False,362402.0,315269.0,1298.0,103.0,0.07935285053929121,1195.0,576.0,2.0,1193.0,2.0,2.0,1.0,0.0016736401673640166,0.998326359832636,0.0005858028168238007,2.8570025942149377,1.0597597961906975,0.0006705362142767682,0.0010031039530872484,2.495972822540515,1.022515640723204,1.0317425649668697,0.000704323570432357,2.376237623762376,0.8898206242794238,F07_idio_activity,0.0,494.0,0.0,paired-by-date,"MAX(F16u,F16d)",1.4422333931129634,2.133763882698171,,False,False
