split,signal,h,n_frames,n_signal,n_signal_valid,episodes,share_of_frames,p_up,p_down,mean_fwd_ticks,base_p_up,base_mean_ticks,ctrl_p_up,ctrl_mean_ticks,n_matched,lift_vs_matched,lift_vs_base,ticks_vs_base
dev,b_imb_weighted,4,505,176,162,26,0.3485148514851485,0.42592592592592593,0.32098765432098764,-0.018518518518519878,0.33048433048433046,-0.28490028490028585,0.1694915254237288,-0.16949152542374146,59,0.2564344005021971,0.09544159544159547,0.26638176638176597
dev,b_largest_wall_bid,4,505,205,192,19,0.40594059405940597,0.3541666666666667,0.390625,-0.5520833333333319,0.33048433048433046,-0.28490028490028585,0.5625,0.9687500000000393,32,-0.20833333333333331,0.023682336182336228,-0.2671830484330461
dev,b_one_frame_pressure,4,505,58,55,56,0.11485148514851486,0.34545454545454546,0.36363636363636365,-0.3454545454545523,0.33048433048433046,-0.28490028490028585,0.3018867924528302,-1.1415094339622536,53,0.04356775300171528,0.014970214970215001,-0.06055426055426644
dev,score_ge_3,4,505,113,110,27,0.22376237623762377,0.37272727272727274,0.3,-0.3636363636363559,0.33048433048433046,-0.28490028490028585,0.46938775510204084,0.6989795918367298,98,-0.0966604823747681,0.04224294224294228,-0.07873607873607003
dev,score_ge_4,4,505,31,30,14,0.061386138613861385,0.43333333333333335,0.3333333333333333,-0.4333333333333324,0.33048433048433046,-0.28490028490028585,0.3,-0.26666666666664085,30,0.13333333333333336,0.10284900284900289,-0.14843304843304655
dev,score_ge_5,4,505,5,5,4,0.009900990099009901,0.6,0.2,-7.105427357601002e-15,0.33048433048433046,-0.28490028490028585,0.4,-2.1316282072803006e-14,5,0.19999999999999996,0.2695156695156695,0.28490028490027874
dev,score_ge_6,4,505,0,0,0,0.0,,,,0.33048433048433046,-0.28490028490028585,,,0,,,
dev,score_ge_7,4,505,0,0,0,0.0,,,,0.33048433048433046,-0.28490028490028585,,,0,,,
dev,composite,8,505,0,0,0,0.0,,,,0.4188034188034188,-0.22222222222222296,,,0,,,
dev,mirror_composite,8,505,0,0,0,0.0,,,,0.4188034188034188,-0.22222222222222296,,,0,,,
dev,b_imb_l1,8,505,144,131,33,0.2851485148514851,0.45038167938931295,0.3969465648854962,-0.6412213740458172,0.4188034188034188,-0.22222222222222296,0.3875,-0.6124999999999834,80,0.06288167938931294,0.031578260585894136,-0.41899915182359426
