candidate,outcome,horizon,n_signal,n_population,n_symbols,n_dates,n_years,hit_rate,base_rate_all,control_rate_mean,control_rate_sd,n_matched,match_share,lift,excess_pp,t_nw_date,n_diff_dates,ci_lo,ci_hi,ci_excludes_control,median_mfe_20d,mean_mfe_20d,median_mae_20d,mean_mae_20d,median_fwd_ret_20d,mean_fwd_ret_20d,median_days_to_p10,years_total,years_beat,year_consistency,loso_worst_rate,top3_symbol_share,p_nw,check,strata,unit,median_mfe_30d,mean_mfe_30d,median_mae_30d,mean_mae_30d,median_fwd_ret_30d,mean_fwd_ret_30d,median_mfe_10d,mean_mfe_10d,median_mae_10d,mean_mae_10d,median_fwd_ret_10d,mean_fwd_ret_10d,median_mfe_5d,mean_mfe_5d,median_mae_5d,mean_mae_5d,median_fwd_ret_5d,mean_fwd_ret_5d,split_value,dh_thr,dex_thr,bh_reject_q10,bh_p_threshold
surface dh>=-0.15 dex>=-0.01,hit_p10_20d,20,168783,587082,392,2324,12,0.20714763927646743,0.3274380750900215,0.3189141820036655,0.0008315301045449115,168601,0.998921692350533,0.6495403809713204,-11.176654272719807,-12.807028459238705,2324,0.19765958418105922,0.21640041773351454,False,0.03543307086614189,0.06868941516613886,-0.02395740905057675,-0.049305898478069383,0.0,0.0023606157403106088,13.0,12,1,0.08333333333333333,0.20752302206665832,0.019196246067435703,1.4976053839704209e-37,8_surface,original,row,,,,,,,,,,,,,,,,,,,,-0.15,-0.01,True,0.052335726251435136
surface dh>=-0.15 dex>=-0.01,hit_p10_20d,20,168783,587082,392,2324,12,0.20714763927646743,0.3274380750900215,0.24446107661644206,0.0009063710987958771,121919,0.722341705029535,0.8473645053958158,-3.7313437339974636,-12.807028459238705,2324,0.19765958418105922,0.21640041773351454,False,0.03543307086614189,0.06868941516613886,-0.02395740905057675,-0.049305898478069383,0.0,0.0023606157403106088,13.0,12,1,0.08333333333333333,0.20752302206665832,0.019196246067435703,1.4976053839704209e-37,8_surface,full,row,,,,,,,,,,,,,,,,,,,,-0.15,-0.01,True,0.052335726251435136
surface dh>=-0.1 dex>=-0.1,hit_p10_20d,20,335685,587082,392,2345,12,0.2705453028881243,0.3274380750900215,0.36255387655153926,0.0009043728803578275,332009,0.9890492574884192,0.7462209629660888,-9.200857366341497,-9.358312105731397,2345,0.2611354542558453,0.2805340079199044,False,0.047244094488189115,0.08645826113013785,-0.03995006242197241,-0.057990680093507656,0.0,0.007691518374060759,11.0,12,1,0.08333333333333333,0.27066505861122664,0.018669288171946914,8.1020610354019e-21,8_surface,original,row,,,,,,,,,,,,,,,,,,,,-0.1,-0.1,True,0.052335726251435136
surface dh>=-0.1 dex>=-0.1,hit_p10_20d,20,335685,587082,392,2345,12,0.2705453028881243,0.3274380750900215,0.4321338155515371,0.0019142892303675315,24885,0.07413199874882702,0.6260683453855568,-16.158851266341284,-9.358312105731397,2345,0.2611354542558453,0.2805340079199044,False,0.047244094488189115,0.08645826113013785,-0.03995006242197241,-0.057990680093507656,0.0,0.007691518374060759,11.0,12,1,0.08333333333333333,0.27066505861122664,0.018669288171946914,8.1020610354019e-21,8_surface,full,row,,,,,,,,,,,,,,,,,,,,-0.1,-0.1,True,0.052335726251435136
surface dh>=-0.1 dex>=-0.07,hit_p10_20d,20,303483,587082,392,2343,12,0.25720715822632567,0.3274380750900215,0.3524855847748558,0.0007393686183090655,300030,0.9886220974486215,0.7296955374498015,-9.527842654853014,-9.65008017400488,2343,0.247519051679525,0.26735361047481127,False,0.044871794871794934,0.08269828336578079,-0.03637123745819393,-0.054903237725322296,0.0,0.007867308756133026,12.0,12,1,0.08333333333333333,0.25731948795041093,0.020053841566084425,4.911731370841205e-22,8_surface,original,row,,,,,,,,,,,,,,,,,,,,-0.1,-0.07,True,0.052335726251435136
surface dh>=-0.1 dex>=-0.07,hit_p10_20d,20,303483,587082,392,2343,12,0.25720715822632567,0.3274380750900215,0.34782412513787225,0.0008614641382475052,39892,0.13144723098163652,0.7394747507052111,-9.061696691154658,-9.65008017400488,2343,0.247519051679525,0.26735361047481127,False,0.044871794871794934,0.08269828336578079,-0.03637123745819393,-0.054903237725322296,0.0,0.007867308756133026,12.0,12,1,0.08333333333333333,0.25731948795041093,0.020053841566084425,4.911731370841205e-22,8_surface,full,row,,,,,,,,,,,,,,,,,,,,-0.1,-0.07,True,0.052335726251435136
surface dh>=-0.1 dex>=-0.05,hit_p10_20d,20,267030,587082,392,2342,12,0.24289405684754523,0.3274380750900215,0.34418234223300975,0.0007963685745194154,263680,0.9874545931168782,0.705713300894447,-10.128828538546452,-9.948250551170283,2342,0.23327943948807137,0.25281015215621355,False,0.04210526315789487,0.07878611602794447,-0.032608695652173836,-0.051989933681704355,0.0,0.007758908455811203,12.0,12,2,0.16666666666666666,0.24314150630891077,0.021596824326854662,2.5665526421531854e-23,8_surface,original,row,,,,,,,,,,,,,,,,,,,,-0.1,-0.05,True,0.052335726251435136
surface dh>=-0.1 dex>=-0.05,hit_p10_20d,20,267030,587082,392,2342,12,0.24289405684754523,0.3274380750900215,0.3270235441076482,0.0009721026348520626,63243,0.23683855746545332,0.7427418032227296,-8.412948726010299,-9.948250551170283,2342,0.23327943948807137,0.25281015215621355,False,0.04210526315789487,0.07878611602794447,-0.032608695652173836,-0.051989933681704355,0.0,0.007758908455811203,12.0,12,2,0.16666666666666666,0.24314150630891077,0.021596824326854662,2.5665526421531854e-23,8_surface,full,row,,,,,,,,,,,,,,,,,,,,-0.1,-0.05,True,0.052335726251435136
surface dh>=-0.1 dex>=-0.03,hit_p10_20d,20,211093,587082,392,2333,12,0.21852453657866439,0.3274380750900215,0.33372350971070014,0.0010506246314813889,207812,0.9844570876343602,0.6548071389020366,-11.519897313203575,-11.227497809931133,2333,0.20917577126769074,0.22818800053300162,False,0.03726708074534146,0.07239679765553579,-0.026587243934330984,-0.0479139560606659,0.0,0.006966466689450817,13.0,12,1,0.08333333333333333,0.21898999523582657,0.02376677578129071,2.9882126629866397e-29,8_surface,original,row,,,,,,,,,,,,,,,,,,,,-0.1,-0.03,True,0.052335726251435136
surface dh>=-0.1 dex>=-0.03,hit_p10_20d,20,211093,587082,392,2333,12,0.21852453657866439,0.3274380750900215,0.28517823191074654,0.0008432346868200112,83627,0.39616188125612883,0.7662735515040667,-6.6653695332082155,-11.227497809931133,2333,0.20917577126769074,0.22818800053300162,False,0.03726708074534146,0.07239679765553579,-0.026587243934330984,-0.0479139560606659,0.0,0.006966466689450817,13.0,12,1,0.08333333333333333,0.21898999523582657,0.02376677578129071,2.9882126629866397e-29,8_surface,full,row,,,,,,,,,,,,,,,,,,,,-0.1,-0.03,True,0.052335726251435136
