source,t_recv,seq,epoch,body_sha256,http_status,elapsed_ms,t_source_str,symbol,instrument_number,market_category,open,ltp,ltp_spot,high,low,close_published,yclose,day_trades,day_volume,day_value_mn,public_trades,public_volume,public_value_mn,spot_trades,spot_volume,spot_value_mn,t_source_unix,company_id,sector_id,t_source_utc,feed_timestamp_str,feed_timestamp_utc,t_source
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:56:32,ICBEPMF1S1,948.0,A-MF,6.2,6.4,0.0,6.4,6.1,0.0,6.1,145.0,646889.0,4.043,145.0,646889.0,4.04,0.0,0.0,0.0,1789026992,260,14,2026-09-10T07:56:32+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:56:32+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:38:27,ICBIBANK,949.0,Z-EQ,2.6,2.7,0.0,2.7,2.6,0.0,2.6,31.0,59848.0,0.159,31.0,59848.0,0.16,0.0,0.0,0.0,1789025907,22,1,2026-09-10T07:38:27+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:38:27+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:57:36,ICBSONALI1,950.0,A-MF,6.8,7.0,0.0,7.1,6.6,0.0,6.6,504.0,2805542.0,19.222,504.0,2805542.0,19.22,0.0,0.0,0.0,1789027056,324,14,2026-09-10T07:57:36+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:57:36+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:57:47,ICICL,1774.0,A-EQ,37.3,37.0,0.0,37.4,36.7,0.0,36.9,385.0,303240.0,11.238,385.0,303240.0,11.24,0.0,0.0,0.0,1789027067,10534,10,2026-09-10T07:57:47+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:57:47+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:50:47,IDLC,951.0,A-EQ,43.5,42.6,0.0,43.5,42.0,0.0,42.9,211.0,50335.0,2.134,211.0,50335.0,2.13,0.0,0.0,0.0,1789026647,72,7,2026-09-10T07:50:47+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:50:47+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:57:25,IFADAUTOS,952.0,B-EQ,24.4,24.0,0.0,24.7,23.9,0.0,24.5,222.0,220712.0,5.357,222.0,220712.0,5.36,0.0,0.0,0.0,1789027045,351,6,2026-09-10T07:57:25+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:57:25+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:57:12,IFIC,953.0,Z-EQ,4.6,4.7,0.0,4.7,4.5,0.0,4.6,171.0,390908.0,1.799,171.0,390908.0,1.8,0.0,0.0,0.0,1789027032,23,1,2026-09-10T07:57:12+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:57:12+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:57:45,IFIC1STMF,954.0,A-MF,4.1,4.2,0.0,4.2,4.0,0.0,4.0,197.0,1864061.0,7.641,197.0,1864061.0,7.64,0.0,0.0,0.0,1789027065,262,14,2026-09-10T07:57:45+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:57:45+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:52:26,IFILISLMF1,955.0,A-MF,5.4,5.6,0.0,5.6,5.4,0.0,5.3,80.0,348890.0,1.902,80.0,348890.0,1.9,0.0,0.0,0.0,1789026746,263,14,2026-09-10T07:52:26+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:52:26+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 06:30:34,ILFSL,956.0,Z-EQ,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1789000234,73,7,2026-09-10T00:30:34+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 00:30:34+00:00
