split,h,baseline,n_baseline,p_up_baseline,lift_baseline_vs_base,n_composite,p_up_composite,incremental_lift,n_both,p_up_both,n_only_baseline,p_up_only_baseline,within_baseline_gain
val,8,b_largest_wall_bid,803,0.25155666251556663,-0.00014401775654221405,2,0.0,-0.25155666251556663,2,0.0,801,0.25218476903870163,-0.25218476903870163
val,8,b_one_frame_pressure,118,0.2542372881355932,0.0025366078634843636,2,0.0,-0.2542372881355932,0,,118,0.2542372881355932,
holdout,2,b_imb_l1,493,0.2150101419878296,0.059873873644014086,1,0.0,-0.2150101419878296,1,0.0,492,0.21544715447154472,-0.21544715447154472
holdout,2,b_imb_top5,705,0.17588652482269504,0.020750256478879514,1,0.0,-0.17588652482269504,1,0.0,704,0.17613636363636365,-0.17613636363636365
holdout,2,b_imb_weighted,671,0.18032786885245902,0.025191600508643497,1,0.0,-0.18032786885245902,1,0.0,670,0.18059701492537314,-0.18059701492537314
holdout,2,b_largest_wall_bid,686,0.16763848396501457,0.012502215621199048,1,0.0,-0.16763848396501457,1,0.0,685,0.1678832116788321,-0.1678832116788321
holdout,2,b_one_frame_pressure,91,0.23076923076923078,0.07563296242541526,1,0.0,-0.23076923076923078,0,,91,0.23076923076923078,
holdout,4,b_imb_l1,474,0.3143459915611814,0.08158737087152626,1,0.0,-0.3143459915611814,1,0.0,473,0.3150105708245243,-0.3150105708245243
holdout,4,b_imb_top5,687,0.2547307132459971,0.021972092556341943,1,0.0,-0.2547307132459971,1,0.0,686,0.25510204081632654,-0.25510204081632654
holdout,4,b_imb_weighted,653,0.2649310872894334,0.03217246659977821,1,0.0,-0.2649310872894334,1,0.0,652,0.26533742331288346,-0.26533742331288346
holdout,4,b_largest_wall_bid,669,0.25112107623318386,0.018362455543528694,1,0.0,-0.25112107623318386,1,0.0,668,0.25149700598802394,-0.25149700598802394
holdout,4,b_one_frame_pressure,89,0.3258426966292135,0.09308407593955834,1,0.0,-0.3258426966292135,0,,89,0.3258426966292135,
holdout,8,b_imb_l1,456,0.37719298245614036,0.07616675668647105,1,0.0,-0.37719298245614036,1,0.0,455,0.378021978021978,-0.378021978021978
holdout,8,b_imb_top5,657,0.3181126331811263,0.017086407411457005,1,0.0,-0.3181126331811263,1,0.0,656,0.31859756097560976,-0.31859756097560976
holdout,8,b_imb_weighted,618,0.34627831715210355,0.045252091382434245,1,0.0,-0.34627831715210355,1,0.0,617,0.34683954619124796,-0.34683954619124796
holdout,8,b_largest_wall_bid,634,0.31703470031545744,0.01600847454578813,1,0.0,-0.31703470031545744,1,0.0,633,0.3175355450236967,-0.3175355450236967
holdout,8,b_one_frame_pressure,92,0.358695652173913,0.05766942640424372,1,0.0,-0.358695652173913,0,,92,0.358695652173913,
