split,signal,h,n_frames,n_signal,n_signal_valid,episodes,share_of_frames,p_up,p_down,mean_fwd_ticks,base_p_up,base_mean_ticks,ctrl_p_up,ctrl_mean_ticks,n_matched,lift_vs_matched,lift_vs_base,ticks_vs_base
holdout,b_imb_top5,2,1287,782,705,59,0.6076146076146076,0.17588652482269504,0.18581560283687942,0.006382978723403338,0.15513626834381553,-0.028301886792453865,0.13019390581717452,-0.4252077562326934,361,0.04569261900552052,0.020750256478879514,0.0346848655158572
holdout,b_imb_weighted,2,1287,744,671,65,0.578088578088578,0.18032786885245902,0.18032786885245902,0.046944858420267334,0.15513626834381553,-0.028301886792453865,0.12682926829268293,-0.3085365853658505,410,0.053498600559776094,0.025191600508643497,0.0752467452127212
holdout,b_largest_wall_bid,2,1287,757,686,48,0.5881895881895882,0.16763848396501457,0.20845481049562684,-0.019679300291547436,0.15513626834381553,-0.028301886792453865,0.17567567567567569,0.0022522522522684476,222,-0.008037191710661112,0.012502215621199048,0.008622586500906429
holdout,b_one_frame_pressure,2,1287,109,91,106,0.08469308469308469,0.23076923076923078,0.12087912087912088,0.1428571428571363,0.15513626834381553,-0.028301886792453865,0.13333333333333333,0.10555555555556219,90,0.09743589743589745,0.07563296242541526,0.17115902964959018
holdout,score_ge_3,2,1287,623,561,83,0.4840714840714841,0.16755793226381463,0.17647058823529413,0.026737967914434765,0.15513626834381553,-0.028301886792453865,0.1834862385321101,-0.02018348623853481,545,-0.015928306268295472,0.012421663919999104,0.05503985470688863
holdout,score_ge_4,2,1287,238,222,70,0.18492618492618493,0.17567567567567569,0.18468468468468469,0.01126126126125678,0.15513626834381553,-0.028301886792453865,0.13963963963963963,-0.08108108108107967,222,0.03603603603603606,0.02053940733186016,0.039563148053710646
holdout,score_ge_5,2,1287,67,63,27,0.052059052059052056,0.19047619047619047,0.14285714285714285,4.511382449270477e-15,0.15513626834381553,-0.028301886792453865,0.23809523809523808,0.03968253968253517,63,-0.047619047619047616,0.03533992213237494,0.028301886792458375
holdout,score_ge_6,2,1287,19,18,9,0.014763014763014764,0.2222222222222222,0.16666666666666666,7.894919286223336e-15,0.15513626834381553,-0.028301886792453865,0.2222222222222222,-0.24999999999998973,18,0.0,0.06708595387840668,0.02830188679246176
holdout,score_ge_7,2,1287,1,1,1,0.000777000777000777,0.0,0.0,0.0,0.15513626834381553,-0.028301886792453865,0.0,0.0,1,0.0,-0.15513626834381553,0.028301886792453865
holdout,composite,4,1287,1,1,1,0.000777000777000777,0.0,0.0,0.0,0.23275862068965517,-0.08297413793103607,0.0,0.0,1,0.0,-0.23275862068965517,0.08297413793103607
holdout,mirror_composite,4,1287,1,1,1,0.000777000777000777,0.0,0.0,0.0,0.23275862068965517,-0.08297413793103607,0.0,0.0,1,0.0,-0.23275862068965517,0.08297413793103607
holdout,b_imb_l1,4,1287,551,474,87,0.4281274281274281,0.3143459915611814,0.23839662447257384,0.1529535864978906,0.23275862068965517,-0.08297413793103607,0.14918414918414918,-0.4230769230769142,429,0.16516184237703224,0.08158737087152626,0.23592772442892668
holdout,b_imb_top5,4,1287,782,687,59,0.6076146076146076,0.2547307132459971,0.2765647743813683,-0.03275109170305879,0.23275862068965517,-0.08297413793103607,0.23163841807909605,-0.4392655367231767,354,0.02309229516690106,0.021972092556341943,0.05022304622797728
holdout,b_imb_weighted,4,1287,744,653,65,0.578088578088578,0.2649310872894334,0.2664624808575804,0.045176110260336626,0.23275862068965517,-0.08297413793103607,0.1712846347607053,-0.48236775818639643,397,0.09364645252872808,0.03217246659977821,0.1281502481913727
holdout,b_largest_wall_bid,4,1287,757,669,48,0.5881895881895882,0.25112107623318386,0.30194319880418535,-0.06352765321375442,0.23275862068965517,-0.08297413793103607,0.19444444444444445,-0.06018518518516318,216,0.05667663178873941,0.018362455543528694,0.01944648471728165
holdout,b_one_frame_pressure,4,1287,109,89,106,0.08469308469308469,0.3258426966292135,0.25842696629213485,0.11797752808988453,0.23275862068965517,-0.08297413793103607,0.2988505747126437,0.17816091954022342,87,0.0269921219165698,0.09308407593955834,0.2009516660209206
holdout,score_ge_3,4,1287,623,548,83,0.4840714840714841,0.23175182481751824,0.2664233576642336,-0.031934306569347475,0.23275862068965517,-0.08297413793103607,0.25981308411214954,0.0009345794392544748,535,-0.028061259294631297,-0.001006795872136923,0.051039831361688597
holdout,score_ge_4,4,1287,238,210,70,0.18492618492618493,0.23333333333333334,0.24285714285714285,-0.02142857142858324,0.23275862068965517,-0.08297413793103607,0.2571428571428571,0.04285714285714228,210,-0.02380952380952378,0.0005747126436781713,0.06154556650245283
holdout,score_ge_5,4,1287,67,61,27,0.052059052059052056,0.2786885245901639,0.18032786885245902,0.0901639344262302,0.23275862068965517,-0.08297413793103607,0.21311475409836064,-0.09836065573771505,61,0.06557377049180327,0.045929903900508745,0.17313807235726628
holdout,score_ge_6,4,1287,19,17,9,0.014763014763014764,0.23529411764705882,0.23529411764705882,-0.23529411764707053,0.23275862068965517,-0.08297413793103607,0.35294117647058826,0.11764705882351437,17,-0.11764705882352944,0.0025354969574036545,-0.15231997971603445
holdout,score_ge_7,4,1287,1,1,1,0.000777000777000777,0.0,0.0,0.0,0.23275862068965517,-0.08297413793103607,0.0,-1.9999999999998863,1,0.0,-0.23275862068965517,0.08297413793103607
holdout,composite,8,1287,1,1,1,0.000777000777000777,0.0,0.0,0.0,0.3010262257696693,-0.15621436716077702,0.0,-2.9999999999999716,1,0.0,-0.3010262257696693,0.15621436716077702
holdout,mirror_composite,8,1287,1,1,1,0.000777000777000777,1.0,0.0,0.5000000000000426,0.3010262257696693,-0.15621436716077702,0.0,0.0,1,1.0,0.6989737742303307,0.6562143671608196
holdout,b_imb_l1,8,1287,551,456,87,0.4281274281274281,0.37719298245614036,0.29605263157894735,0.09539473684210655,0.3010262257696693,-0.15621436716077702,0.25862068965517243,-0.18965517241377525,406,0.11857229280096793,0.07616675668647105,0.25160910400288355
holdout,b_imb_top5,8,1287,782,657,59,0.6076146076146076,0.3181126331811263,0.3485540334855403,-0.08295281582952962,0.3010262257696693,-0.15621436716077702,0.24702380952380953,-0.302083333333342,336,0.07108882365731678,0.017086407411457005,0.0732615513312474
