symbol,year,rows,days
ASIAINS,2020,18065,198
ASIAINS,2021,20036,239
ASIAINS,2022,37435,243
ASIAINS,2023,23428,241
ASIAINS,2024,2382,22
ASIAPACINS,2015,272,42
ASIAPACINS,2016,2418,279
ASIAPACINS,2017,2625,240
ASIAPACINS,2018,4429,221
ASIAPACINS,2019,11261,236
ASIAPACINS,2020,17159,190
ASIAPACINS,2021,25836,239
ASIAPACINS,2022,12145,243
ASIAPACINS,2023,18744,243
ASIAPACINS,2024,1976,22
ATCSLGF,2015,781,43
ATCSLGF,2016,4228,283
ATCSLGF,2017,4805,246
ATCSLGF,2018,3584,240
ATCSLGF,2019,11147,235
ATCSLGF,2020,13115,198
ATCSLGF,2021,14778,239
ATCSLGF,2022,6542,207
ATCSLGF,2023,2857,93
ATCSLGF,2024,2407,22
ATLASBANG,2015,2177,42
ATLASBANG,2016,14251,284
ATLASBANG,2017,7389,247
ATLASBANG,2018,10912,240
ATLASBANG,2019,12351,236
ATLASBANG,2020,3499,183
ATLASBANG,2021,4431,205
ATLASBANG,2022,6530,223
ATLASBANG,2023,101,71
ATLASBANG,2024,196,12
AZIZPIPES,2015,495,42
AZIZPIPES,2016,3150,272
AZIZPIPES,2017,5521,245
AZIZPIPES,2018,18676,240
AZIZPIPES,2019,14579,234
AZIZPIPES,2020,14823,195
AZIZPIPES,2021,22354,237
AZIZPIPES,2022,16577,242
AZIZPIPES,2023,28638,243
AZIZPIPES,2024,3284,22
BANGAS,2015,2683,41
BANGAS,2016,14055,284
BANGAS,2017,7755,247
BANGAS,2018,10901,240
BANGAS,2019,28715,236
BANGAS,2020,19640,197
BANGAS,2021,16718,237
BANGAS,2022,21004,238
BANGAS,2023,25396,243
BANGAS,2024,1871,22
BANKASIA,2015,764,41
BANKASIA,2016,6044,283
BANKASIA,2017,14968,247
BANKASIA,2018,8545,240
BANKASIA,2019,9143,236
BANKASIA,2020,5562,197
BANKASIA,2021,10044,238
BANKASIA,2022,4194,232
BANKASIA,2023,1133,209
BANKASIA,2024,301,22
BARKAPOWER,2015,2740,42
BARKAPOWER,2016,16613,284
BARKAPOWER,2017,23909,247
BARKAPOWER,2018,15941,240
BARKAPOWER,2019,14390,236
BARKAPOWER,2020,18306,196
BARKAPOWER,2021,39078,239
BARKAPOWER,2022,19912,237
BARKAPOWER,2023,351,164
BARKAPOWER,2024,728,12
BATASHOE,2015,443,39
BATASHOE,2016,4096,282
BATASHOE,2017,5388,246
BATASHOE,2018,3284,238
BATASHOE,2019,10295,236
BATASHOE,2020,5606,197
BATASHOE,2021,7850,233
BATASHOE,2022,5615,240
BATASHOE,2023,2621,241
BATASHOE,2024,175,20
BATBC,2015,418,41
BATBC,2016,3740,279
BATBC,2017,3088,241
BATBC,2018,3097,239
BATBC,2019,31007,236
BATBC,2020,30238,197
BATBC,2021,57601,238
BATBC,2022,44900,242
BATBC,2023,6682,243
BATBC,2024,493,22
BAYLEASING,2015,1635,42
BAYLEASING,2016,11033,283
BAYLEASING,2017,13377,247
BAYLEASING,2018,5433,240
BAYLEASING,2019,5640,236
BAYLEASING,2020,9789,186
BAYLEASING,2021,31121,239
BAYLEASING,2022,26960,228
BAYLEASING,2023,162,95
BAYLEASING,2024,1064,13
BBS,2015,3040,42
BBS,2016,20688,284
BBS,2017,24028,247
BBS,2018,17648,240
BBS,2019,13646,236
BBS,2020,13315,192
BBS,2021,19886,239
BBS,2022,39354,243
BBS,2023,4676,226
BBS,2024,1486,19
BBSCABLES,2017,11589,103
BBSCABLES,2018,28714,240
BBSCABLES,2019,32932,236
BBSCABLES,2020,23480,198
BBSCABLES,2021,35555,238
BBSCABLES,2022,29621,243
BBSCABLES,2023,1098,210
BBSCABLES,2024,1293,20
BDAUTOCA,2015,672,41
BDAUTOCA,2016,5704,283
BDAUTOCA,2017,13797,247
BDAUTOCA,2018,16029,211
BDAUTOCA,2019,26372,234
BDAUTOCA,2020,14530,194
BDAUTOCA,2021,11857,217
BDAUTOCA,2022,15152,233
BDAUTOCA,2023,24238,243
BDAUTOCA,2024,1507,22
BDCOM,2015,1602,42
BDCOM,2016,16242,284
BDCOM,2017,19331,247
BDCOM,2018,17206,240
BDCOM,2019,17057,236
BDCOM,2020,17007,197
BDCOM,2021,24745,239
BDCOM,2022,43287,243
BDCOM,2023,40997,243
BDCOM,2024,3518,22
BDFINANCE,2015,1840,42
BDFINANCE,2016,17782,284
BDFINANCE,2017,21986,247
BDFINANCE,2018,16278,240
BDFINANCE,2019,15645,236
BDFINANCE,2020,20353,194
BDFINANCE,2021,36207,237
BDFINANCE,2022,14463,228
BDFINANCE,2023,152,88
BDFINANCE,2024,435,10
BDLAMPS,2015,2181,42
BDLAMPS,2016,10424,284
BDLAMPS,2017,8431,247
BDLAMPS,2018,13790,240
BDLAMPS,2019,14689,236
BDLAMPS,2020,11686,196
BDLAMPS,2021,27613,239
BDLAMPS,2022,32933,242
BDLAMPS,2023,7359,194
BDLAMPS,2024,799,18
BDPAINTS,2022,1858,68
BDPAINTS,2023,6552,232
BDPAINTS,2024,592,19
BDTHAI,2015,3063,42
BDTHAI,2016,22467,283
BDTHAI,2017,22853,247
BDTHAI,2018,22348,240
BDTHAI,2019,15644,236
BDTHAI,2020,15630,175
BDTHAI,2021,40529,239
BDTHAI,2022,21648,233
BDTHAI,2023,23492,243
BDTHAI,2024,5468,22
BDTHAIFOOD,2022,40032,225
BDTHAIFOOD,2023,14924,210
BDTHAIFOOD,2024,1332,18
BDWELDING,2015,2954,42
BDWELDING,2016,11585,282
BDWELDING,2017,11897,247
BDWELDING,2018,7974,241
BDWELDING,2019,6347,237
BDWELDING,2020,10967,198
BDWELDING,2021,14081,240
BDWELDING,2022,20314,244
BDWELDING,2023,16229,244
BDWELDING,2024,699,22
BEACHHATCH,2015,2290,42
BEACHHATCH,2016,12380,284
BEACHHATCH,2017,10546,247
BEACHHATCH,2018,7840,240
BEACHHATCH,2019,9455,237
BEACHHATCH,2020,8058,184
BEACHHATCH,2021,16415,232
BEACHHATCH,2022,15548,239
BEACHHATCH,2023,36851,243
BEACHHATCH,2024,4104,22
BEACONPHAR,2015,1736,42
BEACONPHAR,2016,13061,284
BEACONPHAR,2017,20299,247
BEACONPHAR,2018,10123,240
BEACONPHAR,2019,20360,236
BEACONPHAR,2020,21141,192
BEACONPHAR,2021,30318,239
BEACONPHAR,2022,21952,243
BEACONPHAR,2023,8062,191
BEACONPHAR,2024,2169,21
BENGALBISC,2022,1836,71
BENGALBISC,2023,2215,227
BENGALBISC,2024,129,19
BENGALWTL,2015,2284,42
BENGALWTL,2016,16660,283
BENGALWTL,2017,13874,247
BENGALWTL,2018,9581,240
BENGALWTL,2019,9011,236
BENGALWTL,2020,8271,181
BENGALWTL,2021,15076,235
BENGALWTL,2022,18039,243
BENGALWTL,2023,33984,243
BENGALWTL,2024,2349,22
BERGERPBL,2015,249,39
BERGERPBL,2016,1886,255
BERGERPBL,2017,1205,219
BERGERPBL,2018,13421,229
BERGERPBL,2019,20162,236
BERGERPBL,2020,11098,198
BERGERPBL,2021,17990,239
BERGERPBL,2022,5086,241
BERGERPBL,2023,6209,243
BERGERPBL,2024,1321,22
BEXGSUKUK,2022,7480,233
BEXGSUKUK,2023,1194,211
BEXGSUKUK,2024,167,18
BEXIMCO,2015,4066,42
BEXIMCO,2016,25810,284
BEXIMCO,2017,27386,247
BEXIMCO,2018,27935,240
BEXIMCO,2019,31076,236
BEXIMCO,2020,36282,198
BEXIMCO,2021,58977,237
BEXIMCO,2022,54948,243
BEXIMCO,2023,2353,236
BEXIMCO,2024,105,20
BGIC,2015,841,42
BGIC,2016,5701,283
BGIC,2017,5957,247
BGIC,2018,2631,240
BGIC,2019,7419,236
BGIC,2020,14386,191
BGIC,2021,24457,239
BGIC,2022,10929,243
BGIC,2023,11939,243
BGIC,2024,629,22
BIFC,2015,604,41
BIFC,2016,2735,281
BIFC,2017,3535,246
BIFC,2018,1751,234
BIFC,2019,2191,236
BIFC,2020,2381,169
BIFC,2021,5284,237
BIFC,2022,5452,233
BIFC,2023,470,115
BIFC,2024,198,16
BNICL,2016,13197,180
BNICL,2017,12572,247
BNICL,2018,7711,240
BNICL,2019,21068,236
BNICL,2020,20330,193
BNICL,2021,13654,239
BNICL,2022,24516,243
BNICL,2023,23382,243
BNICL,2024,1956,22
BPML,2018,14950,119
BPML,2019,24825,236
BPML,2020,14859,194
BPML,2021,19601,239
BPML,2022,41036,243
BPML,2023,45913,243
BPML,2024,4276,22
BPPL,2021,25664,110
BPPL,2022,30266,236
BPPL,2023,432,178
