row,symbol,ts,code,detail
75071,ARAMIT,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
75115,ARAMIT,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
77768,ARAMITCEM,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
77812,ARAMITCEM,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
80369,ARGONDENIM,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
80413,ARGONDENIM,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
82973,ASIAINS,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
83017,ASIAINS,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
85660,ASIAPACINS,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
85704,ASIAPACINS,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
87705,ASIATICLAB,2025-05-17,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
87711,ASIATICLAB,2025-05-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
88185,ATCSLGF,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
88228,ATCSLGF,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
90706,ATLASBANG,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
90750,ATLASBANG,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
93148,AZIZPIPES,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
93192,AZIZPIPES,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
95842,BANGAS,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
95886,BANGAS,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
98540,BANKASIA,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
98584,BANKASIA,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
101201,BARKAPOWER,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
101245,BARKAPOWER,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
103801,BATASHOE,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
103844,BATASHOE,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
106469,BATBC,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
106513,BATBC,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
108544,BATBC,2025-05-17,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
108550,BATBC,2025-05-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
109616,BAYLEASING,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
109660,BAYLEASING,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
111904,BBS,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
111948,BBS,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
115479,BBSCABLES,2025-05-17,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
115485,BBSCABLES,2025-05-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
116545,BDAUTOCA,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
116589,BDAUTOCA,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
119190,BDCOM,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
119234,BDCOM,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
121893,BDFINANCE,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
121937,BDFINANCE,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
124415,BDLAMPS,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
124459,BDLAMPS,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
126468,BDPAINTS,2025-05-17,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
126474,BDPAINTS,2025-05-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
127540,BDTHAI,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
127583,BDTHAI,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
130066,BDTHAIFOOD,2025-05-17,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
130072,BDTHAIFOOD,2025-05-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
131138,BDWELDING,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
131182,BDWELDING,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
133850,BEACHHATCH,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
133894,BEACHHATCH,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
136534,BEACONPHAR,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
136578,BEACONPHAR,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
138571,BENGALBISC,2025-05-17,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
138577,BENGALBISC,2025-05-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
139505,BENGALWTL,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
139549,BENGALWTL,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
142158,BERGERPBL,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
