symbol,lankabd_best_bid,dsebd_best_bid,lankabd_best_ask,dsebd_best_ask,bid_agree,ask_agree,levels_lankabd,levels_dsebd
COPPERTECH,23.2,23.2,,,True,,1,1
DBH1STMF,,,5.4,5.4,,True,2,2
DELTASPINN,7.0,7.0,,,True,,1,1
DESHBANDHU,18.3,18.3,,,True,,1,1
DHAKAINS,44.3,44.3,,,True,,1,1
DSHGARME,,,167.5,167.5,,True,1,1
DSSL,,,11.4,11.4,,True,1,1
DUTCHBANGL,,,44.3,44.3,,True,2,2
EASTERNINS,,,59.0,59.0,,True,3,3
EASTRNLUB,2050.1,2050.1,,,True,,1,1
EBL,23.7,23.7,,,True,,2,2
EBL1STMF,4.0,4.0,,,True,,1,1
EGEN,23.8,23.8,24.0,24.0,True,True,2,2
EIL,31.2,31.2,,,True,,1,1
EMERALDOIL,,,28.8,28.8,,True,1,1
ENVOYTEX,62.4,62.4,62.9,62.9,True,True,3,3
EPGL,17.5,17.5,17.8,17.8,True,True,1,1
EXIM1STMF,6.7,6.7,,,True,,3,3
FARCHEM,14.6,14.6,15.0,15.0,True,True,2,2
FBFIF,,,3.5,3.5,,True,1,1
FEKDIL,,,24.5,24.5,,True,1,1
FORTUNE,16.3,16.3,,,True,,1,1
FUWANGFOOD,9.7,9.7,,,True,,1,1
GBBPOWER,12.5,12.5,13.1,13.1,True,True,1,1
GHAIL,13.1,13.1,,,True,,1,1
GLOBALINS,,,45.0,45.0,,True,2,2
GPHISPAT,16.5,16.5,17.0,17.0,True,True,2,2
GRAMEENS2,,,12.0,12.0,,True,1,1
GREENDELT,,,67.3,67.3,,True,1,1
HEIDELBCEM,208.8,208.8,210.0,210.0,True,True,1,1
HRTEX,,,18.0,18.0,,True,1,1
IBP,16.2,16.2,16.4,16.4,True,True,1,1
ICBAGRANI1,7.7,7.7,,,True,,1,1
ICBEPMF1S1,5.6,5.6,,,True,,1,1
ICBSONALI1,,,6.0,6.0,,True,1,1
IDLC,,,43.1,43.1,,True,1,1
IFILISLMF1,,,5.3,5.3,,True,2,2
INDEXAGRO,,,68.8,68.8,,True,2,2
INTRACO,,,22.8,22.8,,True,2,2
IPDC,,,31.3,31.3,,True,2,2
ISLAMIBANK,27.3,27.3,,,True,,1,1
ISLAMICFIN,11.1,11.1,,,True,,1,1
ISLAMIINS,,,60.7,60.7,,True,1,1
ITC,,,46.5,46.5,,True,1,1
JAMUNABANK,23.8,23.8,,,True,,1,1
JAMUNAOIL,174.9,174.9,175.4,175.4,True,True,1,1
KARNAPHULI,56.8,56.8,,,True,,1,1
KPCL,10.7,10.7,,,True,,1,1
KPPL,13.1,13.1,13.3,13.3,True,True,1,1
KTL,,,11.7,11.7,,True,1,1
LANKABAFIN,,,15.3,15.3,,True,1,1
LEGACYFOOT,,,74.5,74.5,,True,1,1
LINDEBD,,,688.0,688.0,,True,1,1
LOVELLO,45.0,45.0,45.2,45.2,True,True,3,3
MALEKSPIN,,,49.0,49.0,,True,1,1
MBL1STMF,,,9.5,9.5,,True,1,1
MEGHNAPET,,,67.0,67.0,,True,1,1
MHSML,19.9,19.9,20.2,20.2,True,True,1,1
MIDLANDBNK,16.8,16.8,,,True,,2,2
MIRAKHTER,,,33.9,33.9,,True,1,1
MITHUNKNIT,,,14.0,14.0,,True,1,1
MLDYEING,11.7,11.7,11.9,11.9,True,True,2,2
MONNOCERA,,,85.0,85.0,,True,1,1
MONNOFABR,20.7,20.7,,,True,,1,1
MONOSPOOL,,,107.6,107.6,,True,1,1
MPETROLEUM,,,205.9,205.9,,True,1,1
NAVANACNG,20.5,20.5,,,True,,1,1
NCCBANK,14.8,14.8,,,True,,1,1
NFML,15.9,15.9,16.2,16.2,True,True,3,3
