candidate_id,horizon_frames,outcome,n_rows,n_valid,n_signal,n_signal_valid,episodes,symbol_coverage,share_of_valid_rows,base_p_outcome,n_matched,ctrl_p_outcome,control_draws,p_up,p_down,p_outcome,mean_fwd_ticks,median_fwd_ticks,mfe,mae,median_t_favourable_s,median_t_adverse_s,lift_vs_base_pp,matched_lift_pp,matched_lift_sd,ctrl_mean_ticks,ticks_vs_ctrl,family,logic,formula,truth_class,status,reason,dev_val_agreement
TLPI_l0.5,4,up,4257,3533,2252,2110,237,14,0.59723,0.24455,1603,0.17598,20,0.29052,0.27204,0.29052,0.06872,0.0,0.47796,-0.37417,110.18956,111.26221,4.59686,11.45375,0.79269,-0.86216,0.93088,tlpi,TLPI(0.5) > 0.2,Σq·exp(-λ·|p-mid|/tick) imbalance,INFERRED,PROMISING,matched lift +11.45pp on 237 episodes,"UNAVAILABLE — one session, no split"
VETO_E1_no_risk,4,up,4257,3533,1476,1351,375,14,0.38239,0.24455,1340,0.19996,20,0.3094,0.21762,0.3094,0.13138,0.0,0.47853,-0.25759,99.68133,112.55845,6.48486,10.94373,0.88547,-0.29075,0.42213,veto,E1 and no risk state,,INFERRED,PROMISING,matched lift +10.94pp on 375 episodes,"UNAVAILABLE — one session, no split"
X_E1_persist_noveto,4,up,4257,3533,1059,966,267,14,0.27342,0.24455,966,0.19224,20,0.29503,0.21118,0.29503,0.10507,0.0,0.39855,-0.21998,93.04898,114.20932,5.04786,10.2794,1.17652,-0.24594,0.35101,cross,E1 persistent ≥3 frames and no risk state,,INFERRED,PROMISING,matched lift +10.28pp on 267 episodes,"UNAVAILABLE — one session, no split"
TLPI_l0.5_rank,4,up,4257,3533,2130,1990,237,14,0.56326,0.24455,1562,0.18915,20,0.29095,0.27186,0.29095,0.05704,0.0,0.46407,-0.36709,109.6552,111.31496,4.63986,10.18015,0.84996,-0.68916,0.7462,tlpi_rank_ablation,rank-decayed twin of TLPI(0.5) > 0.2,,INFERRED,PROMISING,matched lift +10.18pp on 237 episodes,"UNAVAILABLE — one session, no split"
DYN_C_level_vel,4,up,4257,3533,477,442,457,14,0.12511,0.24455,439,0.24339,20,0.34389,0.18326,0.34389,0.25,0.0,0.56109,-0.27941,126.24987,125.92658,9.93386,10.04959,2.29852,-0.1635,0.4135,dynamics,P > θ and V > 0,,INFERRED,PROMISING,matched lift +10.05pp on 457 episodes,"UNAVAILABLE — one session, no split"
DYN_D_level_vel_acc,4,up,4257,3533,451,418,444,14,0.11831,0.24455,415,0.24952,20,0.34928,0.18421,0.34928,0.2512,0.0,0.56579,-0.27751,124.88533,126.3873,10.47286,9.97619,1.87218,-0.15211,0.40331,dynamics,P > θ and V > 0 and A > 0,,INFERRED,PROMISING,matched lift +9.98pp on 444 episodes,"UNAVAILABLE — one session, no split"
DYN_G_top5_pos_l1_weak,4,down,4257,3533,671,636,161,14,0.18002,0.31956,615,0.27927,20,0.16195,0.37264,0.37264,-0.2445,0.0,0.23742,-0.5739,117.43209,104.67421,5.30816,9.33717,1.45901,-0.0161,-0.2284,dynamics,"top5 > θ and L1 < 0 — deep bullish, touch bearish",,INFERRED,PROMISING,matched lift +9.34pp on 161 episodes,"UNAVAILABLE — one session, no split"
GEO_broad_ask,4,down,4257,3533,476,273,76,12,0.07727,0.31956,262,0.37214,20,0.14286,0.46154,0.46154,-0.54762,0.0,0.16117,-0.88462,111.93708,104.87806,14.19816,8.94026,2.72855,-0.31565,-0.23197,geometry,L1 < −θ and top5 < −θ,,INFERRED,PROMISING,matched lift +8.94pp on 76 episodes,"UNAVAILABLE — one session, no split"
REF_top3,4,up,4257,3533,2169,2003,226,14,0.56694,0.24455,1673,0.18757,20,0.27409,0.27059,0.27409,0.02247,0.0,0.42411,-0.37094,109.4698,112.02126,2.95386,8.65228,0.4395,-0.59308,0.61555,reference,imb_top3 > 0.2,,INFERRED,PROMISING,matched lift +8.65pp on 226 episodes,"UNAVAILABLE — one session, no split"
X_TLPI1_vel,4,up,4257,3533,523,491,495,14,0.13898,0.24455,489,0.23712,20,0.32179,0.2057,0.32179,0.17108,0.0,0.52546,-0.32383,126.24987,124.48838,7.72386,8.46734,1.71414,-0.13139,0.30247,cross,TLPI(1) > θ and its velocity > 0,,INFERRED,PROMISING,matched lift +8.47pp on 495 episodes,"UNAVAILABLE — one session, no split"
